symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
HUMAUSDT,-0.00183,-6.112,0.02865211,0.02994,0.02811,525294377.0,15050790.52142,0.0301,0.02745,152212,Spot Only,0.11
HUMAUSDC,-0.00183,-6.112,0.02876797,0.02997,0.02811,40236138.0,1157511.86831,0.0301,0.0275,15302,Spot Only,0.07
SANTOSUSDT,-0.092,-4.118,2.19918378,2.235,2.142,3945238.21,8676303.88238,2.276,2.126,72626,Spot Only,0.02
PROMUSDT,-0.305,-3.293,9.00612236,9.259,8.957,451061.65,4062316.41245,9.388,8.694,135003,Spot Only,0.07
API3USDC,-0.0453,-2.97,1.51394252,1.5257,1.4799,1215995.53,1840947.337875,1.6,1.4364,13141,Spot Only,0.05
API3USDT,-0.0452,-2.964,1.50795454,1.5249,1.4797,13510102.04,20372619.667828,1.6016,1.4357,143161,Spot Only,0.02
HFTUSDT,-0.0022,-2.483,0.08688154,0.0887,0.0864,50604570.6,4396602.81473,0.0904,0.0816,33141,Spot Only,0.15
FORMUSDC,-0.0674,-1.888,3.54845365,3.5565,3.5027,50878.5,180539.99908,3.6394,3.4667,1091,Spot Only,0.0
FORMUSDT,-0.0604,-1.696,3.55603849,3.562,3.5015,931664.3,3313034.11494,3.641,3.4739,79870,Spot Only,0.03
JUVUSDC,-0.024,-1.687,1.4115814,1.42,1.399,108402.18,153018.50067,1.445,1.381,1035,Spot Only,0.29
JUVUSDT,-0.022,-1.549,1.40970829,1.418,1.398,3064110.39,4319501.82349,1.447,1.379,28583,Spot Only,0.27
ASRUSDT,-0.04,-1.218,3.30774437,3.284,3.243,4392155.6,14528127.9508,3.521,3.163,118037,Spot Only,0.06
MKRUSDC,-13.0,-0.798,1637.49239131,1631.9,1615.1,415.8033,680874.74003,1753.0,1503.3,3875,Spot Only,0.21
MKRUSDT,-12.7,-0.78,1646.25779527,1627.8,1615.0,11656.5999,19189768.45168,1786.0,1506.0,228190,Spot Only,0.07
SOLVFDUSD,-0.00033,-0.74,0.04521945,0.04463,0.04427,4240006.0,191730.72038,0.04654,0.04398,2860,Spot Only,0.08
