symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
HUMAUSDT,-0.00208,-6.885,0.02867253,0.03022,0.02813,515630274.0,14784423.68177,0.03032,0.02745,148669,2.85
HUMAUSDC,-0.00207,-6.854,0.02879816,0.03019,0.02813,39496219.0,1137418.25843,0.03029,0.0275,14926,3.23
SANTOSUSDT,-0.095,-4.228,2.20223944,2.246,2.152,3784295.61,8333925.05281,2.276,2.126,70749,2.1
ASRUSDT,-0.121,-3.602,3.3110572,3.361,3.238,4539329.2,15029978.6523,3.521,3.163,120999,0.86
HFTUSDT,-0.0031,-3.46,0.08762784,0.0897,0.0865,61403516.4,5380657.46912,0.0931,0.0816,38720,2.0
