symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
QTUMUSDT,-0.118,-5.062,2.32888044,2.331,2.213,8003500.8,18639196.4515,2.456,2.181,81583,6.05
SCUSDT,0.000123,4.061,0.00316158,0.003029,0.003152,1240303411.0,3921314.256102,0.00331,0.003001,93171,5.25
PHAUSDT,-0.0003,-0.247,0.12131332,0.1215,0.1212,98250941.0,11919147.7776,0.1275,0.116,87592,4.14
BBUSDT,0.02,16.488,0.13108046,0.1212,0.1413,174647126.3,22892826.20951,0.1428,0.1207,192149,3.35
NEOUSDT,-0.118,-1.756,6.7449722,6.72,6.602,2695588.28,18181668.02032,6.947,6.506,120944,3.31
API3USDT,0.0387,2.542,1.56016841,1.522,1.561,33708998.13,52591713.990351,1.7088,1.4299,319753,3.24
UMAUSDT,0.136,9.577,1.49430088,1.419,1.556,11160301.9,16676848.9681,1.61,1.377,93832,3.14
ZECUSDT,3.65,9.542,40.80600023,38.24,41.9,167684.008,6842513.66975,43.43,37.7,34720,3.12
BANDUSDT,0.004,0.476,0.8484791,0.84,0.844,10491695.5,8901984.3843,0.911,0.807,44818,3.06
ASRUSDT,-0.065,-2.008,3.57965342,3.237,3.172,13042530.0,46687737.0812,4.2,3.157,356116,3.06
TWTUSDT,0.0022,0.289,0.77288606,0.7602,0.7623,3357431.0,2594911.6318,0.7959,0.7572,36433,2.68
BIOUSDT,0.0584,39.593,0.17061016,0.1475,0.2059,611485389.2,104325621.39725,0.21,0.1432,416035,2.6
FTTUSDT,0.0584,6.549,0.93117971,0.892,0.9502,3308084.68,3080421.316798,0.985,0.8837,30220,2.44
MEMEUSDT,-0.000432,-15.031,0.00260605,0.002876,0.002442,10054435071.0,26202333.282316,0.002913,0.002396,234430,2.18
ONGUSDT,-0.002,-1.144,0.17677968,0.1747,0.1729,12831991.0,2268435.2202,0.1808,0.171,17023,2.04
ASTRUSDT,0.00047,1.926,0.0247173,0.02439,0.02487,93877601.4,2320400.926121,0.02534,0.02402,17115,2.02
TRBUSDT,-1.76,-4.744,36.4759992,37.11,35.34,196196.646,7156468.70157,38.16,35.04,57234,1.91
ZILUSDT,0.00015,1.322,0.01136734,0.01136,0.0115,171797353.9,1952879.488825,0.01153,0.01114,18321,1.77
DCRUSDT,-0.16,-0.948,16.69482699,16.86,16.71,24894.774,415613.94481,16.96,16.36,8596,1.59
JUVUSDT,0.071,5.346,1.42072989,1.329,1.399,8969774.69,12743626.96608,1.533,1.319,73460,1.54
