symbol,price_change_percent,last_price,quote_volume,count,trading_venue,high_24h,low_24h,volume_spike_pct,last_volume,avg_prev_volume,periods_used,is_bullish,vema_multiplier,volume_ema_9,volume_ema_21,volume_ema_50,price_ema_9,price_ema_21,price_ema_50
SYNUSDT,3.869,0.1423,1726068.74015,15876,Spot Only,0.1431,0.1361,689.8,86258.76504,10921.41179,1,True,7.343411108034683,29721.629614571004,19627.57665824335,11746.416450199999,0.13991406231600254,0.1393878048323299,0.13907199999999997
SAGAUSDT,6.882,0.278,6272602.07869,85621,Spot Only,0.2839,0.26,219.9,187337.36595,58558.71725,1,True,4.160613995166786,69135.71577503276,51762.894839578534,45026.37499360001,0.27644857827029073,0.27635015410783687,0.27638
LISTAUSDT,5.925,0.3057,4186101.49663,35559,Spot Only,0.315,0.26,754.7,137880.33149,16131.15218,1,True,4.150482787139443,48270.18523411021,38952.71520857457,33220.3116026,0.30581612724961027,0.30623783988165454,0.3069799999999999
HFTUSDT,-1.712,0.0861,2508910.99568,16917,Spot Only,0.0904,0.0852,206.8,57614.9227,18777.81743,1,True,2.7200433586221258,25615.987517021185,23606.518169320207,21181.619225799994,0.0859420541756133,0.0861106113561784,0.08674599999999998
SCRUSDT,-1.478,0.4,4250500.9437,20016,Spot Only,0.422,0.396,586.5,72931.9409,10624.4755,1,True,2.0565332372047287,25976.384504722984,28049.620608289417,35463.536197999994,0.39938362959839935,0.4005770781079672,0.40373999999999993
