symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count
EPICUSDT,-0.536,-16.887,2.83330623,3.174,2.638,3975421.1,11263585.3554,3.174,2.61,92024
HYPERUSDT,-0.0361,-9.953,0.35205341,0.3629,0.3266,18392744.8,6475228.46906,0.3756,0.3258,52288
OGNUSDT,-0.0079,-9.53,0.07998219,0.0829,0.075,153950197.0,12313274.1148,0.0848,0.0742,41051
ALPINEUSDT,-0.179,-8.203,2.03746916,2.18,2.003,3543671.34,7220121.05221,2.195,1.953,47607
A2ZUSDT,-0.000418,-7.064,0.00580645,0.005918,0.005499,839589495.0,4875031.562744,0.006095,0.005476,54608
HUMAUSDT,-0.00222,-6.804,0.03159381,0.03262,0.03041,141638899.0,4474912.99657,0.03291,0.03033,58678
REQUSDT,-0.0101,-6.689,0.14684782,0.151,0.1409,3868804.0,568125.4457,0.152,0.1409,12936
CYBERUSDT,-0.149,-6.573,2.21553102,2.266,2.118,1938742.98,4295345.21259,2.304,2.116,27960
TSTUSDT,-0.00187,-6.294,0.02879918,0.0297,0.02784,117940289.8,3396583.677901,0.03035,0.0277,32061
SXTUSDT,-0.0049,-6.29,0.076069,0.0779,0.073,16542037.5,1258336.20984,0.0789,0.0728,10665
CTSIUSDT,-0.0054,-6.193,0.08529249,0.0871,0.0818,22039027.0,1879763.5556,0.0887,0.0817,16086
REZUSDT,-0.00081,-6.018,0.01313829,0.01345,0.01265,256069516.1,3364315.025528,0.01368,0.01263,21774
PROVEUSDT,-0.067,-5.741,1.13592124,1.1668,1.1,13943689.9,15838933.5553,1.1849,1.0849,128803
KAITOUSDT,-0.0593,-5.224,1.14033991,1.135,1.0758,9278289.9,10580404.31271,1.1971,1.0698,257462
HOMEUSDT,-0.0022,-5.093,0.04114335,0.04319,0.041,72092110.0,2966110.87291,0.0436,0.03966,31605
MLNUSDT,-0.45,-5.073,8.72694017,8.86,8.42,155376.55,1355961.85546,8.96,8.42,18322
LDOUSDT,-0.0665,-5.008,1.29683401,1.328,1.2615,17615818.28,22844792.237526,1.357,1.2471,130274
PONDUSDT,-0.00046,-4.973,0.00916059,0.00925,0.00879,124882484.0,1143997.83537,0.00939,0.00878,7024
RSRUSDT,-0.000419,-4.964,0.00828644,0.008441,0.008022,413640272.4,3427607.0784004,0.008583,0.008013,59339
BANANAS31USDT,-0.000356,-4.882,0.00725508,0.007294,0.006936,826951388.0,5999601.779026,0.007581,0.006907,87266
