symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.0734,43.151,0.22372522,0.1705,0.2435,116803902.5,26131979.14965,0.265,0.1691,209056,13.03
BANDUSDT,0.273,32.852,1.12341098,0.831,1.104,27259133.1,30623209.358,1.342,0.814,180114,6.95
MEMEUSDT,0.001335,54.445,0.00339559,0.002453,0.003787,29885946618.0,101480527.757933,0.004305,0.002396,875984,6.04
AEURUSDT,0.0082,0.737,1.11977365,1.1136,1.1215,87685735.2,98188175.45175,1.1345,1.1002,25344,5.04
BBUSDT,0.0284,21.402,0.15536108,0.1326,0.1611,270237420.0,41984378.12893,0.18,0.131,389506,4.85
BIOUSDT,0.0511,26.866,0.2235184,0.1902,0.2413,1070272723.5,239225650.13271,0.2645,0.1821,971450,4.67
QTUMUSDT,0.438,19.927,2.52123827,2.199,2.636,7134431.6,17987601.9591,2.834,2.126,91490,4.61
BTTCUSDT,5e-08,7.576,6.8e-07,6.5e-07,7.1e-07,7782177298450.0,5316432.42934374,7.3e-07,6.5e-07,18096,4.23
PHAUSDT,0.01,8.177,0.13046703,0.1224,0.1323,106587307.0,13906129.1144,0.147,0.1137,134927,4.0
ETCUSDT,3.3,15.737,23.86069523,20.96,24.27,3394904.73,81004787.0962,25.52,20.53,378143,3.86
YGGUSDT,0.0193,12.681,0.1688392,0.1523,0.1715,57165578.1,9651790.38604,0.1808,0.1459,76611,3.84
SSVUSDT,1.733,20.489,9.71884333,8.457,10.191,1519818.323,14770876.176077,10.747,8.124,269158,3.18
ZILUSDT,0.00088,7.801,0.01172191,0.01128,0.01216,335480389.2,3932469.261801,0.01228,0.01106,38439,3.17
FTTUSDT,-0.0134,-1.406,0.94401432,0.9528,0.9394,4721580.33,4457239.444236,0.975,0.9071,37017,3.1
SCUSDT,0.000139,4.413,0.00319598,0.003149,0.003289,666459636.0,2129989.156237,0.003346,0.003054,53161,2.65
ASTRUSDT,0.00237,9.595,0.02543665,0.02471,0.02707,132757390.6,3376903.098378,0.02719,0.02394,28371,2.65
HUMAUSDT,-0.00166,-5.576,0.02872082,0.02977,0.02811,487026247.0,13987792.68758,0.03032,0.02745,141317,2.64
ARBUSDT,0.0838,16.783,0.55164729,0.4992,0.5831,349610038.4,192861431.88415,0.6078,0.4741,548238,2.62
NEOUSDT,0.775,11.847,6.9729389,6.541,7.317,2297114.42,16017638.50274,7.534,6.398,128935,2.6
ACHUSDT,0.0016,7.722,0.02140928,0.02072,0.02232,529198096.0,11329750.89873,0.023,0.01977,88836,2.59
