symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count
ASRUSDT,0.909,28.857,3.36196896,3.15,4.059,6685688.4,22477076.8517,4.2,2.97,186389
QTUMUSDT,0.312,15.515,2.23201434,2.012,2.323,8680693.8,19375433.0761,2.436,1.979,118142
SCRUSDT,0.046,12.849,0.40768965,0.357,0.404,24924616.3,10161508.0061,0.434,0.35,76101
NEOUSDT,0.678,11.3,6.44336596,6.01,6.678,4462383.36,28752769.04569,6.85,5.92,141406
MEMEUSDT,0.000244,10.326,0.0027319,0.002363,0.002607,30847414187.0,84271987.186242,0.003023,0.00226,699860
BBUSDT,0.011,9.865,0.12283247,0.1116,0.1225,83296018.2,10231455.67666,0.1299,0.1093,108189
JUVUSDT,0.106,7.97,1.35533634,1.331,1.436,2562388.38,3472898.10116,1.449,1.292,23963
GTCUSDT,0.025,7.599,0.35335639,0.328,0.354,15313630.9,5411169.2997,0.392,0.314,32067
BIOUSDT,0.0075,5.411,0.15329855,0.1387,0.1461,726551971.5,111379366.68892,0.1748,0.138,536588
BANDUSDT,0.042,5.35,0.84011144,0.785,0.827,21949150.2,18439732.124,0.94,0.722,96066
OGUSDT,0.672,5.197,13.11887203,12.93,13.603,469262.6,6156195.9966,13.778,12.809,135824
LAUSDT,0.0178,5.14,0.35390373,0.3466,0.3641,8605925.9,3045669.2756,0.3706,0.3341,28603
KAITOUSDT,0.05,4.796,1.13124041,1.0426,1.0925,11001670.8,12445534.54166,1.1971,1.0262,258606
BERAUSDT,0.103,4.723,2.31353864,2.182,2.284,4013229.384,9284761.241986,2.444,2.115,72343
JSTUSDT,0.0015,4.59,0.03351683,0.03268,0.03418,64372816.1,2157572.927148,0.03458,0.03253,7979
1000CATUSDT,0.00035,4.534,0.00826436,0.00773,0.00807,605217795.3,5001737.205015,0.00874,0.00748,22264
CHRUSDT,0.0043,4.419,0.10215727,0.0974,0.1016,33243159.0,3396030.5078,0.107,0.0941,32313
ATMUSDT,0.059,4.278,1.38757538,1.378,1.438,1075849.08,1492821.69283,1.456,1.323,14000
PEOPLEUSDT,0.00078,4.209,0.01936411,0.01854,0.01931,318918329.0,6175570.189528,0.01998,0.01808,46016
GASUSDT,0.126,3.883,3.37573071,3.245,3.371,1368764.8,4620581.3766,3.476,3.203,35516
