symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
ILVUSDC,0.55,3.604,15.60911213,15.15,15.81,7397.103,115462.21019,16.32,14.52,509,Spot Only,105.42
XVGUSDT,0.000102,1.593,0.00648983,0.006405,0.006504,489028329.0,3173712.900237,0.006811,0.00602,42454,Spot Only,99.46
OMNIUSDC,0.03,0.783,3.84372019,3.84,3.86,256432.79,985655.8916,4.06,3.67,6630,Spot Only,99.32
ZENUSDC,0.608,7.852,7.99848509,7.71,8.351,47493.8,379878.451,8.495,7.467,2127,Spot Only,98.43
HFTUSDT,-0.0037,-4.088,0.08717296,0.0904,0.0868,55136254.1,4806390.3568,0.0917,0.0816,35663,Spot Only,98.1
MKRUSDC,-33.2,-2.027,1637.76746669,1636.1,1604.9,421.7256,690688.46755,1753.0,1503.3,3944,Spot Only,97.63
WBTCUSDT,2580.72,2.279,115186.69304342,113248.81,115837.24,108.6564,12515771.3940032,117410.35,111725.77,28228,Spot Only,97.53
BFUSDUSDT,0.0008,0.08,0.99927973,0.9989,0.9997,21461840.0,21446381.7164,1.0005,0.9983,5716,Spot Only,97.5
SUSHIUSDC,0.0836,10.761,0.83173846,0.7756,0.8605,832068.7,692063.53544,0.904,0.7328,3381,Spot Only,97.48
PENDLEFDUSD,0.199,3.533,5.77482647,5.611,5.832,45693.6,263872.6107,6.007,5.342,1463,Spot Only,97.47
LDOFDUSD,0.1728,13.081,1.42634455,1.32,1.4938,552843.25,788544.958931,1.581,1.2905,6370,Spot Only,97.37
PONDUSDT,0.00072,7.701,0.00971308,0.00935,0.01007,325899248.0,3165483.88788,0.01035,0.00897,19636,Spot Only,97.32
ACHUSDC,0.00179,8.745,0.02173181,0.02034,0.02226,12745070.0,276973.432,0.02288,0.01976,1614,Spot Only,97.31
COMPUSDC,2.74,6.041,48.03862037,45.34,48.1,6744.139,323979.13317,49.98,43.58,7498,Spot Only,97.22
PENDLEUSDC,0.204,3.634,5.68598513,5.612,5.818,1455750.7,8277376.8368,5.999,5.328,52808,Spot Only,97.19
