symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
BTCTUSD,2753.58,2.433,115322.72152383,113205.2,115942.93,3.04423,351068.8885445,117555.92,111931.77,1453,Spot Only,17.53
APEUSDC,0.0421,7.164,0.61142537,0.588,0.6298,767009.37,468968.987405,0.6445,0.565,4115,Spot Only,13.85
HAEDALUSDC,0.0084,6.747,0.12824694,0.1246,0.1329,3650589.5,468176.9199,0.1349,0.1187,3882,Spot Only,11.48
MOVEUSDC,0.0057,4.485,0.13035184,0.1274,0.1328,1115007.8,145343.31581,0.1365,0.1213,1399,Spot Only,10.48
BABYUSDC,0.00287,5.623,0.05205741,0.05097,0.05391,3052434.0,158901.80495,0.05481,0.0487,2073,Spot Only,7.98
WBETHUSDT,412.19,8.83,5077.95319144,4666.61,5080.18,2469.8845,12541957.879268,5258.0,4531.39,37917,Spot Only,6.65
RAREUSDC,0.0031,5.576,0.05803222,0.0556,0.0587,3902946.6,226496.67362,0.0598,0.0534,1576,Spot Only,5.92
EPICUSDC,0.0,0.0,2.79466576,2.724,2.725,354261.3,990041.9243,2.955,2.663,8161,Spot Only,5.78
UTKUSDC,0.0014,4.469,0.03207536,0.03151,0.03273,5866824.0,188180.47542,0.03375,0.03019,1678,Spot Only,5.67
SIGNUSDT,0.00404,5.96,0.07074039,0.06779,0.07182,41669206.0,2947695.93891,0.07334,0.06626,41559,Spot Only,5.39
PIXELUSDC,0.00271,8.205,0.03460418,0.0331,0.03574,5643196.9,195278.209948,0.03704,0.03115,2884,Spot Only,5.32
UTKUSDT,0.00144,4.596,0.0322189,0.03133,0.03277,42886382.0,1381752.01629,0.03398,0.03018,23061,Spot Only,5.17
TUSDUSDT,0.0004,0.04,0.99850513,0.9981,0.9985,609103.0,608192.4703,0.999,0.9979,6634,Spot Only,4.89
MEMEFDUSD,0.001727,69.357,0.00304936,0.002509,0.004217,86614120.0,264117.502725,0.004345,0.00243,2699,Spot Only,4.67
ROSEUSDC,0.00152,5.721,0.02774642,0.0266,0.02809,10030249.1,278303.507391,0.02936,0.0254,1849,Spot Only,4.64
