symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
HUMAUSDC,-0.00196,-6.52,0.02877174,0.03006,0.0281,40069203.0,1152860.61849,0.0301,0.0275,15243,Spot Only,0.8
HUMAUSDT,-0.00194,-6.456,0.02865536,0.03005,0.02811,525307583.0,15052879.12464,0.0301,0.02745,151949,Spot Only,0.41
SANTOSUSDT,-0.1,-4.454,2.19928091,2.247,2.145,3941553.75,8668583.90084,2.276,2.126,72538,Spot Only,0.22
HFTUSDT,-0.0035,-3.898,0.08692928,0.0897,0.0863,51640928.8,4489108.68319,0.0904,0.0816,33444,Spot Only,0.66
PROMUSDT,-0.296,-3.195,9.00662555,9.264,8.969,450726.6,4059525.71263,9.388,8.694,134839,Spot Only,0.33
API3USDT,-0.0385,-2.54,1.50803723,1.5157,1.4774,13549936.07,20433808.087061,1.6016,1.4357,143434,Spot Only,0.22
API3USDC,-0.0382,-2.521,1.51399601,1.5158,1.4771,1220099.44,1847225.678244,1.6,1.4364,13219,Spot Only,0.25
FORMUSDC,-0.0746,-2.09,3.54846004,3.5565,3.4955,50871.4,180515.12991,3.6394,3.4667,1089,Spot Only,0.41
FORMUSDT,-0.0644,-1.807,3.55613556,3.5639,3.4995,931388.1,3312142.33848,3.641,3.4739,79753,Spot Only,0.21
EPICUSDT,-0.034,-1.233,2.80327343,2.759,2.724,2221233.3,6226724.3009,2.96,2.656,54270,Spot Only,0.28
EPICUSDC,-0.033,-1.197,2.7961063,2.758,2.724,348894.4,975545.8288,2.955,2.663,8120,Spot Only,0.58
JUVUSDC,-0.017,-1.196,1.41170621,1.418,1.404,108572.49,153272.45845,1.445,1.381,1033,Spot Only,0.0
OGUSDT,-0.155,-1.193,12.97765699,12.989,12.835,372377.2,4832583.5724,13.317,12.666,99051,Spot Only,0.5
ASRUSDT,-0.039,-1.186,3.30778248,3.287,3.249,4402618.4,14562904.0137,3.521,3.163,118322,Spot Only,0.15
JUVUSDT,-0.016,-1.128,1.40982523,1.417,1.402,3062572.32,4317691.71469,1.447,1.379,28573,Spot Only,0.28
