symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
QTUMUSDT,0.295,14.272,2.30465614,2.067,2.362,10329038.6,23804882.1786,2.436,2.052,124371,8.49
BANDUSDT,0.048,6.275,0.85941619,0.764,0.813,22841493.1,19630348.901,0.94,0.764,98821,6.96
MEMEUSDT,-0.000207,-7.359,0.00279762,0.002812,0.002606,21656088553.0,60585495.182264,0.003023,0.002498,510138,5.01
NEOUSDT,0.594,9.535,6.67691333,6.23,6.824,3147523.35,21015740.625,6.947,6.16,124861,4.02
API3USDT,0.1863,13.882,1.53877578,1.341,1.5283,38472828.05,59201056.058051,1.7088,1.328,281016,3.89
BBUSDT,0.0112,9.816,0.12745491,0.114,0.1253,175695054.9,22393197.15407,0.138,0.1121,191526,3.47
AEURUSDT,-0.0011,-0.099,1.11346433,1.1079,1.108,42234151.1,47026220.80696,1.1213,1.095,12640,3.39
SCRUSDT,0.022,5.82,0.4115235,0.377,0.4,25697353.5,10575064.9211,0.434,0.373,78149,3.15
PHAUSDT,0.0054,4.791,0.11884601,0.1127,0.1181,69679728.0,8281157.8015,0.123,0.1115,69195,3.15
ASRUSDT,0.365,11.92,3.57009705,3.061,3.427,12121579.4,43275214.9008,4.2,3.06,333972,2.83
OGNUSDT,-0.0073,-8.935,0.07944666,0.0816,0.0744,134428127.0,10679865.9513,0.0841,0.0742,36774,2.54
TRBUSDT,-0.72,-2.001,36.79797443,35.98,35.27,240219.795,8839601.87291,38.16,35.04,67532,2.33
TWTUSDT,0.0056,0.739,0.77272726,0.7572,0.7637,2921092.0,2257207.4319,0.7959,0.7529,32415,2.32
TUTUSDT,-0.00423,-6.642,0.06126336,0.06367,0.05946,99420207.0,6090815.94638,0.065,0.05537,60846,2.24
UMAUSDT,0.054,3.816,1.45258484,1.415,1.469,7500578.4,10895226.4688,1.54,1.377,69063,2.22
DCRUSDT,-0.34,-2.006,16.86369203,16.95,16.61,34042.967,574090.11123,17.23,16.36,12108,2.13
ZECUSDT,0.9,2.336,38.8704947,38.53,39.42,105312.997,4093568.29215,40.3,37.7,20676,2.05
ONGUSDT,0.0036,2.095,0.17639358,0.1718,0.1754,12121897.0,2138224.7949,0.1808,0.1702,23105,1.93
BNBUSDT,-0.73,-0.087,862.19573232,841.03,840.3,425097.8165,366517523.2041796,883.86,837.96,1641468,1.87
ATAUSDT,-0.0017,-3.52,0.04906488,0.0482,0.0466,22795179.0,1118442.6842,0.0512,0.0465,10281,1.87
