symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
HUMAUSDT,-0.00163,-5.479,0.02872045,0.02976,0.02812,487192753.0,13992395.89483,0.03032,0.02745,141367,2.65
PROMUSDT,-0.444,-4.838,9.04720372,9.178,8.734,403304.77,3648780.4171,9.388,8.694,125950,1.57
SANTOSUSDT,-0.059,-2.629,2.20989795,2.243,2.185,3649381.59,8064760.89491,2.276,2.126,70105,1.1
ALPINEUSDT,-0.05,-2.519,1.97653873,1.984,1.935,2529511.04,4999676.54851,2.031,1.916,40870,0.33
FORMUSDT,-0.0603,-1.693,3.56227845,3.5611,3.5005,949401.0,3382030.72219,3.641,3.4739,80847,1.15
MKRUSDT,-22.6,-1.387,1647.73045089,1629.9,1607.2,11203.7802,18460809.80066,1786.0,1506.0,218657,2.22
FTTUSDT,-0.0131,-1.375,0.944001,0.9508,0.9395,4716435.83,4452320.125128,0.975,0.9071,36955,3.1
EPICUSDT,-0.025,-0.903,2.80244333,2.77,2.744,2282069.6,6395370.7385,2.96,2.656,54198,0.78
UMAUSDT,-0.014,-0.897,1.54321667,1.561,1.547,7673118.4,11841284.2446,1.61,1.46,74972,2.05
OGUSDT,-0.086,-0.663,12.98321254,12.98,12.895,363880.3,4724335.2752,13.317,12.666,96067,0.29
XUSDUSDT,0.0,0.0,1.00035333,1.0002,1.0003,13046032.0,13050641.5383,1.0006,0.9999,4244,1.13
USDPUSDT,0.0001,0.01,0.9999515,1.0001,1.0003,631446.0,631415.3723,1.0004,0.9994,1372,0.34
FDUSDUSDT,0.0002,0.02,0.99788501,0.9976,0.9978,898107173.0,896207689.3591,0.9986,0.9968,381367,1.86
USDCUSDT,0.0002,0.02,1.00005939,1.0002,1.0003,2946464182.0,2946639175.7776,1.0004,0.9999,744845,1.45
USD1USDT,0.0005,0.05,0.99968218,0.9994,0.9999,5360139.0,5358435.4342,0.9999,0.9993,4115,0.61
BFUSDUSDT,0.0005,0.05,0.99922765,0.9991,0.9996,21215259.0,21198873.4515,0.9998,0.9983,6157,1.1
TUSDUSDT,0.0006,0.06,0.99845822,0.9978,0.9985,623761.0,622799.2999,0.999,0.9977,7127,1.51
AEURUSDT,0.0053,0.476,1.11977365,1.1136,1.1191,87686211.8,98188709.42774,1.1345,1.1002,25371,5.04
HIFIUSDT,0.0005,0.524,0.09531154,0.0954,0.0959,17001701.3,1620458.30066,0.0982,0.0902,26256,0.56
FUNUSDT,5.8e-05,0.611,0.00970943,0.009491,0.00955,422891513.0,4106035.690867,0.010141,0.009354,64678,0.52
