symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
ILVUSDC,0.55,3.604,15.60911213,15.15,15.81,7397.103,115462.21019,16.32,14.52,509,Spot Only,105.42
XVGUSDT,0.000105,1.641,0.00648949,0.006397,0.006504,490907576.0,3185739.778773,0.006811,0.00602,42480,Spot Only,99.84
OMNIUSDC,0.02,0.521,3.84372017,3.84,3.86,256434.21,985661.3444,4.06,3.67,6631,Spot Only,99.32
ZENUSDC,0.608,7.852,7.99848509,7.71,8.351,47493.8,379878.451,8.495,7.467,2127,Spot Only,98.43
1000CATUSDC,0.00113,14.268,0.0084532,0.00792,0.00905,58248328.7,492385.014421,0.00971,0.00751,2984,Spot Only,98.29
HFTUSDT,-0.0036,-3.982,0.08717533,0.0903,0.0868,55170945.4,4809545.12425,0.0917,0.0816,35701,Spot Only,98.18
MKRUSDC,-31.7,-1.937,1637.76360467,1639.1,1604.9,422.8968,692604.98757,1753.0,1503.3,3949,Spot Only,97.9
BFUSDUSDT,0.0009,0.09,0.99927816,0.9989,0.9997,21530666.0,21515124.3173,1.0005,0.9983,5716,Spot Only,97.81
SUSHIUSDC,0.0859,11.09,0.83170589,0.7736,0.8605,832549.7,692436.49202,0.904,0.7328,3386,Spot Only,97.56
WBTCUSDT,2615.86,2.31,115186.39313571,113216.51,115837.23,108.66749,12517016.2242107,117410.35,111725.77,28230,Spot Only,97.54
PENDLEFDUSD,0.199,3.533,5.77482647,5.611,5.832,45693.6,263872.6107,6.007,5.342,1463,Spot Only,97.47
LDOFDUSD,0.1739,13.175,1.42632352,1.3197,1.4938,552952.57,788689.255896,1.581,1.2905,6372,Spot Only,97.39
ETHEURI,259.69,6.932,4010.10487652,3744.79,4005.96,429.3242,1721635.06803,4160.07,3628.35,5107,Spot Only,97.33
PONDUSDT,0.00072,7.701,0.00971278,0.00936,0.01007,325634682.0,3162817.5929,0.01035,0.00897,19633,Spot Only,97.32
ACHUSDC,0.00179,8.745,0.02173181,0.02034,0.02226,12745070.0,276973.432,0.02288,0.01976,1614,Spot Only,97.31
