symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
HUMAUSDT,-0.0022,-7.275,0.02866208,0.03024,0.02804,521411167.0,14944729.68747,0.03027,0.02745,150267,Spot Only,0.91
HUMAUSDC,-0.00214,-7.093,0.02878303,0.03022,0.02803,39764750.0,1144550.01825,0.03023,0.0275,15115,Spot Only,1.27
SANTOSUSDT,-0.11,-4.889,2.19971638,2.251,2.14,3927476.49,8639334.37773,2.276,2.126,72151,Spot Only,0.66
PROMUSDT,-0.355,-3.837,9.00793319,9.25,8.897,449471.92,4048813.02576,9.388,8.694,134323,Spot Only,1.46
HFTUSDT,-0.0032,-3.556,0.08700285,0.0902,0.0868,52787683.9,4592679.11238,0.0904,0.0816,33903,Spot Only,0.58
API3USDC,-0.0407,-2.675,1.51407574,1.5202,1.4807,1228799.96,1860496.212275,1.6,1.4364,13288,Spot Only,1.64
API3USDT,-0.0395,-2.597,1.50822968,1.5204,1.4813,13662430.51,20606083.236221,1.6016,1.4357,144175,Spot Only,0.38
MKRUSDT,-35.3,-2.153,1646.61689595,1639.2,1604.0,11567.1602,19046681.42351,1786.0,1506.0,226874,Spot Only,0.58
FORMUSDC,-0.0711,-1.992,3.54857274,3.5565,3.499,50765.0,180143.29531,3.6394,3.4667,1083,Spot Only,0.01
MKRUSDC,-30.8,-1.88,1637.61081672,1639.7,1607.1,415.4854,680403.38523,1753.0,1503.3,3887,Spot Only,0.75
ASRUSDT,-0.056,-1.703,3.30790895,3.288,3.232,4438738.2,14682941.8313,3.521,3.163,119266,Spot Only,0.71
FORMUSDT,-0.0586,-1.648,3.55624533,3.555,3.4964,934911.6,3324775.01386,3.641,3.4739,79822,Spot Only,0.42
EPICUSDT,-0.042,-1.515,2.803522,2.772,2.73,2215751.4,6211907.7882,2.96,2.656,54204,Spot Only,0.56
OGUSDT,-0.188,-1.444,12.97836558,13.022,12.833,371125.5,4816602.4155,13.317,12.666,98550,Spot Only,1.14
EPICUSDC,-0.039,-1.409,2.79622783,2.763,2.728,349366.0,976906.9332,2.955,2.663,8119,Spot Only,0.83
