symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
TKOUSDT,0.0615,34.473,0.22559249,0.1788,0.2399,122645573.4,27667920.45638,0.265,0.1771,218754,Spot Only,10.37
MEMEUSDC,0.001535,62.247,0.003448,0.002466,0.004001,2764541599.0,9532130.941737,0.004321,0.002416,213780,Spot Only,6.19
BANDUSDT,0.214,25.296,1.12445224,0.847,1.06,28442960.8,31982750.8807,1.342,0.814,185975,Spot Only,5.55
BBUSDC,0.0173,12.573,0.1615019,0.1372,0.1549,23414144.7,3781428.88585,0.18,0.1314,21448,Spot Only,5.45
BNBTUSD,35.82,4.2,878.16567181,852.08,888.62,596.095,523470.16614,900.81,846.44,1066,Spot Only,5.27
MEMEUSDT,0.001536,62.262,0.00350032,0.002465,0.004003,33256078026.0,116407066.278024,0.004305,0.002415,967266,Spot Only,5.26
BIOFDUSD,0.0447,23.701,0.22298346,0.1888,0.2333,2325807.0,518616.50022,0.2651,0.1832,6656,Spot Only,4.94
BBUSDT,0.0172,12.518,0.15835939,0.1374,0.1546,237934133.9,37679103.18275,0.18,0.131,353895,Spot Only,4.52
BOMEUSDT,0.00053,29.51,0.0021412,0.001796,0.002326,17651163081.0,37794711.85275,0.002461,0.001704,529820,Spot Only,4.48
BIOUSDC,0.0446,23.686,0.22851274,0.1881,0.2329,122888956.0,28081691.83657,0.2656,0.1824,105593,Spot Only,4.08
QTUMUSDT,0.392,17.786,2.54733302,2.204,2.596,7591172.3,19337243.8242,2.834,2.126,99145,Spot Only,3.97
BOMEFDUSD,0.000531,29.402,0.00219967,0.001801,0.002337,70604791.0,155307.387071,0.002461,0.001712,1480,Spot Only,3.95
BTTCUSDT,5e-08,7.576,6.9e-07,6.6e-07,7.1e-07,8180950275913.0,5606440.48270707,7.3e-07,6.5e-07,18724,Spot Only,3.88
BIOUSDT,0.0451,23.977,0.2283398,0.188,0.2332,973784677.2,222353793.99477,0.2645,0.1821,890362,Spot Only,3.72
AEURUSDT,0.0042,0.376,1.12029617,1.1174,1.1212,88058222.7,98651289.83964,1.1345,1.1002,27889,Spot Only,3.67
