symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
TKOUSDT,0.06,33.557,0.22558566,0.1784,0.2388,122594067.2,27655463.78059,0.265,0.1771,218632,Spot Only,10.37
MEMEUSDC,0.001549,62.916,0.00344729,0.002461,0.004011,2762319451.0,9522515.908985,0.004321,0.002416,213724,Spot Only,6.18
BANDUSDT,0.217,25.65,1.1244663,0.847,1.063,28435885.8,31975195.3231,1.342,0.814,185942,Spot Only,5.54
BBUSDC,0.0176,12.819,0.16149606,0.1373,0.1549,23419791.5,3782204.03542,0.18,0.1314,21456,Spot Only,5.45
BNBTUSD,35.82,4.2,878.16567181,852.08,888.62,596.095,523470.16614,900.81,846.44,1066,Spot Only,5.27
MEMEUSDT,0.001552,63.038,0.00349999,0.002461,0.004014,33242528900.0,116348518.165937,0.004305,0.002415,966994,Spot Only,5.26
BIOFDUSD,0.0445,23.57,0.22298303,0.1888,0.2333,2325836.2,518622.01318,0.2651,0.1832,6657,Spot Only,4.94
BBUSDT,0.0175,12.737,0.15835885,0.1375,0.1549,237921594.7,37676991.30815,0.18,0.131,353884,Spot Only,4.52
BOMEUSDT,0.000535,29.788,0.00214101,0.001797,0.002331,17633340863.0,37753118.392845,0.002461,0.001704,529124,Spot Only,4.47
BIOUSDC,0.044,23.342,0.22850164,0.1885,0.2325,122903624.3,28083679.90033,0.2656,0.1824,105609,Spot Only,4.08
QTUMUSDT,0.388,17.604,2.54731436,2.204,2.592,7588812.5,19331091.0884,2.834,2.126,99097,Spot Only,3.97
BOMEFDUSD,0.000531,29.402,0.00219961,0.001801,0.002337,70574429.0,155236.431077,0.002461,0.001712,1477,Spot Only,3.95
BTTCUSDT,6e-08,9.091,6.9e-07,6.6e-07,7.2e-07,8180825472906.0,5606349.74335415,7.3e-07,6.5e-07,18724,Spot Only,3.88
BIOUSDT,0.0442,23.461,0.22832938,0.1885,0.2326,973977088.3,222387584.88738,0.2645,0.1821,890451,Spot Only,3.72
AEURUSDT,0.0039,0.349,1.12029327,1.1174,1.1209,88065428.7,98659106.71039,1.1345,1.1002,27886,Spot Only,3.67
