symbol,price_change_percent,last_price,quote_volume,count,trading_venue,high_24h,low_24h,volume_spike_pct,last_volume,avg_prev_volume,periods_used
TRXUSDC,1.318,0.3614,17449896.89694,66668,Spot Only,0.3675,0.3532,302.9,266720.48148,66193.33665,4
VETUSDC,8.209,0.02531,1930670.838672,8694,Spot Only,0.02648,0.02294,288.3,39130.228142,10078.38832125,4
ALGOUSDC,6.115,0.2603,6487467.9126,39296,Spot Only,0.2696,0.2392,265.6,65289.6485,17859.54925,4
WIFUSDC,7.981,0.893,14411714.43498,43068,Spot Only,0.937,0.792,180.1,109891.85945,39234.7407525,4
MEMEUSDC,52.244,0.003765,12827425.2165,252883,Spot Only,0.004321,0.002416,144.2,456499.148965,186936.96067175,4
BONKUSDC,7.399,2.279e-05,12294040.26363228,31798,Spot Only,2.395e-05,2.042e-05,136.1,108065.99745902,45777.4787575375,4
SYRUPUSDC,8.772,0.4377,2826952.50018,26382,Spot Only,0.4416,0.3902,134.8,46430.0179,19770.670735,4
TIAUSDC,12.75,1.857,3988536.15515,17457,Spot Only,1.907,1.598,118.0,23639.52209,10845.5509025,4
