symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.0628,34.967,0.22541518,0.1793,0.2424,122301773.4,27568676.83932,0.265,0.1771,218003,10.37
MEMEUSDC,0.001554,63.119,0.00344463,0.00246,0.004016,2764431628.0,9522452.013566,0.004321,0.002416,213751,6.19
BANDUSDT,0.217,25.68,1.12431199,0.846,1.062,28428103.3,31962057.4483,1.342,0.814,185944,5.54
BBUSDC,0.0182,13.265,0.16144427,0.1375,0.1554,23456256.3,3786878.21222,0.18,0.1314,21461,5.46
BNBTUSD,38.37,4.499,878.14541128,852.08,891.17,594.942,522445.58728,900.81,846.44,1065,5.26
MEMEUSDT,0.001561,63.404,0.00349746,0.002462,0.004023,33230319383.0,116221737.890284,0.004305,0.002415,966274,5.25
BIOFDUSD,0.0441,23.408,0.22295166,0.188,0.2325,2326234.6,518637.86886,0.2651,0.1832,6664,4.94
BBUSDT,0.018,13.1,0.15832007,0.1372,0.1554,238170033.9,37707095.93298,0.18,0.131,354023,4.53
BOMEUSDT,0.000538,29.922,0.00213974,0.001798,0.002336,17523408160.0,37495470.907078,0.002461,0.001704,525270,4.45
BIOUSDC,0.0438,23.298,0.22837741,0.1882,0.2318,123092295.2,28111499.81154,0.2656,0.1824,105838,4.08
QTUMUSDT,0.389,17.634,2.54706596,2.205,2.595,7578350.1,19302557.5361,2.834,2.126,98941,3.97
BOMEFDUSD,0.000531,29.402,0.00219861,0.001801,0.002337,70056033.0,154025.597212,0.002461,0.001712,1468,3.93
BTTCUSDT,4e-08,5.97,6.8e-07,6.7e-07,7.1e-07,8019165848800.0,5491488.21096968,7.3e-07,6.5e-07,18572,3.82
MEMEFDUSD,0.001532,62.049,0.00290024,0.002469,0.004001,101967628.0,295731.04898,0.004345,0.00243,2702,3.8
BIOUSDT,0.0436,23.155,0.22822658,0.1884,0.2319,975937256.3,222734825.78576,0.2645,0.1821,891777,3.73
