symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
HUMAUSDT,-0.00184,-6.017,0.02909614,0.03058,0.02874,301386898.0,8769196.11893,0.03114,0.02751,110755,1.76
ASRUSDT,-0.197,-5.653,3.3372794,3.485,3.288,5737593.6,19147952.9171,3.565,3.157,165891,1.22
SANTOSUSDT,-0.101,-4.309,2.23026539,2.342,2.243,2226732.1,4966203.52434,2.344,2.126,46282,0.69
JUVUSDT,-0.057,-3.878,1.41273183,1.47,1.413,5515518.21,7791948.15617,1.47,1.36,45450,0.93
QTUMUSDT,-0.075,-3.175,2.28542053,2.362,2.287,4823754.6,11024307.7773,2.456,2.126,49824,3.43
API3USDT,-0.0448,-2.894,1.52192148,1.5479,1.5034,21633133.52,32923930.577022,1.6117,1.4299,212464,1.96
LAZIOUSDT,-0.018,-1.659,1.05888797,1.085,1.067,1119552.05,1185480.19771,1.1,1.021,10779,0.45
FORMUSDT,-0.0491,-1.363,3.58595982,3.6043,3.5544,924623.3,3315661.99794,3.641,3.5454,76652,1.09
OGUSDT,-0.144,-1.092,13.06482522,13.189,13.045,320672.1,4189524.9383,13.369,12.742,96056,0.25
MEMEUSDT,-2.5e-05,-0.954,0.00253311,0.00262,0.002595,8060504717.0,20418157.885583,0.00271,0.002396,189614,1.63
MDTUSDT,-7e-05,-0.244,0.02845252,0.02867,0.02863,123752742.5,3521077.64939,0.03,0.02728,34708,0.78
PROMUSDT,-0.021,-0.228,9.23019411,9.209,9.194,217224.68,2005025.96121,9.388,9.061,78864,0.88
USDPUSDT,-0.0005,-0.05,0.9999295,1.0,0.9996,317911.0,317888.5882,1.0003,0.9994,1100,0.17
USDCUSDT,-0.0002,-0.02,1.00005578,1.0,0.9999,2182403455.0,2182525189.9168,1.0002,0.9999,545517,1.08
XUSDUSDT,0.0,0.0,1.00042938,1.0002,1.0002,17133922.0,17141278.8877,1.0028,0.9999,3682,1.46
GASUSDT,0.001,0.029,3.37175414,3.457,3.458,836904.4,2821835.8759,3.499,3.193,25920,0.88
USD1USDT,0.0003,0.03,0.99944196,0.9995,0.9998,5510088.0,5507013.1691,0.9999,0.9992,2818,0.58
TUSDUSDT,0.0005,0.05,0.99825675,0.9981,0.9984,532120.0,531192.3813,0.999,0.9976,4790,1.3
BFUSDUSDT,0.0005,0.05,0.99912251,0.999,0.9995,17677473.0,17661961.2701,0.9995,0.9983,4685,0.86
ACMUSDT,0.001,0.098,1.00321897,1.018,1.019,1344886.8,1349215.9562,1.027,0.98,13560,0.4
