symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.0726,42.581,0.22371308,0.17,0.2431,116743956.3,26117150.44606,0.265,0.1691,208878,13.03
BANDUSDT,0.274,32.972,1.12337911,0.831,1.105,27247785.1,30609592.5353,1.342,0.814,180134,6.95
MEMEUSDT,0.001313,53.57,0.00339429,0.002452,0.003764,29863303193.0,101364784.41582,0.004305,0.002396,875003,6.04
AEURUSDT,0.006,0.539,1.11977381,1.1135,1.1198,87442739.9,97916089.99457,1.1345,1.1002,25189,5.02
BBUSDT,0.0289,21.828,0.15534909,0.1325,0.1613,270313842.0,41993010.36446,0.18,0.131,389597,4.85
BIOUSDT,0.0484,25.354,0.22347473,0.1909,0.2393,1069512177.8,239008945.60669,0.2645,0.1821,970553,4.67
QTUMUSDT,0.424,19.229,2.51936161,2.206,2.629,7160532.1,18039969.6482,2.834,2.126,91621,4.62
BTTCUSDT,5e-08,7.692,6.8e-07,6.5e-07,7e-07,7754726715854.0,5297199.1434729,7.3e-07,6.5e-07,18071,4.21
PHAUSDT,0.0097,7.925,0.13044746,0.1223,0.1321,106709017.0,13919920.405,0.147,0.1137,134955,4.0
ETCUSDT,3.22,15.341,23.84019583,20.98,24.21,3417458.97,81472891.096,25.52,20.53,378548,3.88
YGGUSDT,0.0189,12.393,0.16882673,0.1526,0.1714,57199798.9,9656854.85645,0.1808,0.1459,76613,3.85
SSVUSDT,1.69,19.953,9.71622518,8.469,10.16,1517273.329,14742169.319289,10.747,8.124,268929,3.18
ZILUSDT,0.00087,7.706,0.01172128,0.0113,0.01216,335134913.5,3928210.366029,0.01228,0.01106,38422,3.17
FTTUSDT,-0.0139,-1.456,0.94401563,0.9547,0.9407,4722152.67,4457785.939598,0.975,0.9071,37028,3.1
SCUSDT,0.000138,4.382,0.00319594,0.003151,0.003287,666956569.0,2131552.454048,0.003346,0.003054,53197,2.65
ASTRUSDT,0.00233,9.418,0.02543572,0.02475,0.02707,132758293.6,3376802.419334,0.02719,0.02394,28359,2.65
HUMAUSDT,-0.00161,-5.408,0.02872168,0.02977,0.02816,486540052.0,13974245.39067,0.03032,0.02745,141145,2.64
ARBUSDT,0.0838,16.757,0.55159829,0.5001,0.5839,349555619.2,192814281.05883,0.6078,0.4741,547987,2.62
NEOUSDT,0.758,11.578,6.97233418,6.546,7.305,2299249.47,16031135.67114,7.534,6.398,129032,2.6
ACHUSDT,0.00159,7.67,0.02140782,0.02074,0.02232,529991013.0,11345949.71887,0.023,0.01977,88897,2.59
