symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.0517,28.738,0.22521557,0.1799,0.2316,121926230.6,27459686.06153,0.265,0.1769,217943,4.62
BOMEUSDT,0.000614,34.187,0.00212952,0.001796,0.00241,16944508281.0,36083630.011882,0.002461,0.001704,503523,3.49
ETCUSDT,2.82,13.289,23.91372924,21.22,24.04,3441696.92,82303808.2769,25.52,20.53,382126,3.48
SSVUSDT,1.507,17.527,9.76584887,8.597,10.105,1559373.667,15228607.556392,10.747,8.124,272372,3.41
BTTCUSDT,4e-08,5.97,6.8e-07,6.6e-07,7.1e-07,8014711039167.0,5488273.71304167,7.3e-07,6.5e-07,18533,3.26
