symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
QTUMUSDT,0.299,14.444,2.30481179,2.07,2.369,10343808.8,23840532.499,2.436,2.052,124521,8.5
BANDUSDT,0.044,5.722,0.85953333,0.768,0.813,22817262.1,19612197.1707,0.94,0.764,98717,6.95
MEMEUSDT,-0.000228,-8.088,0.00279746,0.00282,0.002591,21594525039.0,60409866.758622,0.003023,0.002498,507495,5.0
NEOUSDT,0.607,9.743,6.67734555,6.23,6.837,3152847.14,21052649.81547,6.947,6.16,124970,4.02
API3USDT,0.1755,13.01,1.53878648,1.35,1.5245,38515269.21,59266775.435227,1.7088,1.328,281418,3.89
BBUSDT,0.0107,9.37,0.12745408,0.1143,0.1249,175802542.9,22406751.43602,0.138,0.1121,191727,3.47
AEURUSDT,-0.0069,-0.619,1.11346432,1.114,1.1071,42233807.1,47025837.45776,1.1213,1.095,12636,3.39
PHAUSDT,0.0056,4.965,0.11884752,0.113,0.1184,69717707.0,8285776.7997,0.123,0.1115,69233,3.15
SCRUSDT,0.025,6.631,0.41153634,0.377,0.402,25693946.7,10573992.861,0.434,0.373,78154,3.15
ASRUSDT,0.356,11.585,3.57012653,3.073,3.429,12134043.1,43320069.2358,4.2,3.06,335182,2.83
OGNUSDT,-0.0077,-9.39,0.07942924,0.0819,0.0743,133536250.0,10606682.7672,0.0841,0.0742,36618,2.53
TRBUSDT,-0.58,-1.611,36.79754676,36.02,35.42,240283.092,8841828.31398,38.16,35.04,67577,2.33
TWTUSDT,0.0065,0.857,0.77272615,0.7572,0.7646,2921457.0,2257486.2313,0.7959,0.7529,32438,2.32
TUTUSDT,-0.00444,-6.953,0.06126267,0.06384,0.05942,99407014.0,6089939.10053,0.065,0.05537,60831,2.24
UMAUSDT,0.058,4.087,1.45271128,1.419,1.477,7504879.2,10902422.6418,1.54,1.377,69289,2.22
DCRUSDT,-0.33,-1.946,16.86322202,16.96,16.63,34063.54,574421.03793,17.23,16.36,12099,2.13
ZECUSDT,0.88,2.279,38.87179176,38.62,39.5,105458.06,4099343.74802,40.3,37.7,20716,2.05
ONGUSDT,0.0036,2.093,0.17639463,0.172,0.1756,12121521.0,2138171.2633,0.1808,0.1702,23075,1.93
ATAUSDT,-0.0016,-3.313,0.04905718,0.0482,0.0467,22868766.0,1121877.2773,0.0512,0.0465,10298,1.87
BNBUSDT,-1.85,-0.22,862.19876759,842.15,840.3,425023.9875,366455158.2181196,883.86,837.96,1641163,1.87
