symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
HUMAUSDT,-0.00173,-5.79,0.02864975,0.02987,0.02815,526507310.0,15084301.81952,0.0301,0.02745,152817,Spot Only,0.58
HUMAUSDC,-0.00173,-5.79,0.02876102,0.02991,0.02815,40686328.0,1170180.31719,0.0301,0.0275,15454,Spot Only,1.69
SANTOSUSDT,-0.093,-4.159,2.19897659,2.237,2.143,3955958.33,8699059.76262,2.276,2.126,72834,Spot Only,0.3
API3USDC,-0.0542,-3.543,1.51359332,1.5303,1.4755,1216868.91,1841844.658702,1.6,1.4364,13068,Spot Only,0.31
API3USDT,-0.0536,-3.504,1.5076578,1.5299,1.476,13473838.55,20313937.801435,1.6016,1.4357,142753,Spot Only,0.32
PROMUSDT,-0.322,-3.471,9.00514179,9.278,8.956,450150.33,4053667.54907,9.388,8.694,134782,Spot Only,0.49
JUVUSDC,-0.033,-2.304,1.41104191,1.439,1.399,106200.49,149853.34244,1.434,1.381,1005,Spot Only,0.92
JUVUSDT,-0.03,-2.095,1.40890687,1.432,1.402,2986688.79,4207966.34616,1.435,1.379,28120,Spot Only,0.81
FORMUSDT,-0.0731,-2.048,3.5556778,3.5691,3.4959,936145.8,3328632.84121,3.641,3.4739,79822,Spot Only,0.48
HFTUSDT,-0.0018,-2.043,0.08683334,0.088,0.0863,48813354.0,4238626.67765,0.0904,0.0816,32647,Spot Only,0.79
FORMUSDC,-0.0723,-2.025,3.54842495,3.5565,3.4978,50906.4,180637.53998,3.6394,3.4667,1095,Spot Only,0.44
SKLUSDT,-0.00049,-1.384,0.03658639,0.0354,0.03491,794825044.0,29079778.89526,0.04044,0.03295,181858,Spot Only,1.55
SKLUSDC,-0.00033,-0.929,0.03662417,0.03542,0.03519,17255563.0,631970.72416,0.04389,0.033,7154,Spot Only,0.37
MKRUSDT,-12.4,-0.764,1646.25258317,1623.9,1611.4,11650.2879,19179316.55,1786.0,1506.0,227960,Spot Only,0.91
SPKUSDC,-0.000498,-0.693,0.07404684,0.071886,0.071382,37865924.0,2803851.953999,0.0775,0.068776,42250,Spot Only,0.27
