symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
ASRUSDT,-0.387,-10.771,3.42798736,3.594,3.206,8055476.7,27614072.3135,3.866,3.157,225679,1.78
KMNOUSDT,-0.00567,-9.975,0.05347801,0.05683,0.05117,53006818.0,2834699.21071,0.05783,0.0506,54220,1.22
HUMAUSDT,-0.00259,-8.42,0.02980838,0.03074,0.02817,141161852.0,4207806.68802,0.03124,0.02783,64361,0.89
API3USDT,-0.134,-8.349,1.54397131,1.605,1.471,24466574.54,37775689.048706,1.6219,1.4299,240224,2.29
QTUMUSDT,-0.182,-7.788,2.31235031,2.338,2.155,5988545.5,13847615.0164,2.456,2.126,61657,4.41
TRBUSDT,-2.7,-7.365,36.06541038,36.65,33.96,218164.288,7868184.57707,38.16,33.41,64774,2.06
OGNUSDT,-0.0057,-7.298,0.07438374,0.078,0.0724,48947165.0,3640872.9708,0.0782,0.0712,13571,0.85
HYPERUSDT,-0.0229,-6.96,0.31993129,0.3288,0.3061,10277030.4,3287943.61739,0.3331,0.3025,25928,0.52
BERAUSDT,-0.155,-6.751,2.20954103,2.295,2.141,2560043.454,5656521.045657,2.33,2.127,40321,0.64
SANTOSUSDT,-0.156,-6.739,2.2645284,2.315,2.159,1774444.21,4018279.31364,2.377,2.133,36363,0.57
MKRUSDT,-106.9,-6.552,1595.87301096,1631.4,1524.6,3974.3515,6342560.29493,1667.4,1506.0,111699,0.82
GASUSDT,-0.213,-6.185,3.39441961,3.441,3.231,780406.1,2649025.7691,3.494,3.193,22067,0.84
STRKUSDT,-0.0077,-5.811,0.12859535,0.1325,0.1248,56329525.21,7243715.004029,0.1345,0.122,35602,1.16
CHRUSDT,-0.0056,-5.572,0.09939231,0.1005,0.0949,20205909.0,2008311.9118,0.1021,0.094,14219,0.89
GTCUSDT,-0.019,-5.507,0.34137874,0.345,0.326,6164104.3,2104294.1585,0.352,0.321,14189,0.36
GPSUSDT,-0.00068,-5.384,0.01235277,0.01262,0.01195,99038876.2,1223404.117127,0.01281,0.01176,17726,0.87
SYSUSDT,-0.00229,-5.378,0.04210288,0.04257,0.04029,14271083.0,600853.68627,0.04356,0.03985,11871,0.59
LINKUSDT,-1.39,-5.375,24.97566938,25.85,24.47,7928202.37,198012161.1659,26.16,24.09,442614,1.1
WIFUSDT,-0.045,-5.294,0.83651386,0.849,0.805,23533265.34,19685902.66981,0.867,0.796,100181,0.53
ACHUSDT,-0.00108,-5.14,0.02062755,0.02101,0.01993,263175542.0,5428667.49944,0.02145,0.01977,43059,1.33
