symbol,price_change_percent,last_price,quote_volume,count,trading_venue,high_24h,low_24h,volume_spike_pct,last_volume,avg_prev_volume,periods_used,is_bullish
BOMEUSDC,28.588,0.002267,4835736.007124,29237,Spot Only,0.0026,0.001705,539.5,227511.959581,35579.2294865,2,True
ENAUSDC,15.293,0.7441,74074111.795985,200663,Spot Only,0.7744,0.6219,236.0,637435.838308,189684.9482825,2,False
RAYUSDC,11.222,3.558,10195586.702,43610,Spot Only,3.714,3.102,229.7,78049.2033,23670.83785,2,False
SOLUSDC,11.701,202.29,413995296.51467,379489,Spot Only,208.55,177.24,152.1,3280719.76927,1301235.12653,2,False
FLOKIUSDC,7.833,0.00010628,4831596.12943991,89589,Spot Only,0.00011136,9.48e-05,116.0,34092.45711935,15781.787611475,2,False
EGLDUSDC,8.499,15.83,1865069.5022,7028,Spot Only,16.24,14.2,104.9,23845.656,11640.242549999999,2,False
