symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,volume_change_pct,last_volume,avg_volume
ILVUSDC,0.69,4.557,15.66801999,15.11,15.83,6430.344,100750.75832,16.32,14.52,486,Spot Only,2430.1,1166.36668,46.1004225
XLMUSDT,0.0206,5.239,0.41147491,0.3932,0.4138,145973303.0,60064351.6894,0.4291,0.3808,384774,Spot Only,1724.2,4052369.3242,222143.83685
DEXEUSDT,0.167,2.374,7.15706772,7.027,7.201,124421.4,890492.38572,7.248,6.954,15679,Spot Only,1615.2,29175.70939,1700.9916524999999
TOWNSFDUSD,0.00076,2.958,0.02592319,0.02568,0.02645,3871832.0,100370.24499,0.02731,0.02452,1165,Spot Only,1599.2,2485.79264,146.29020875
FLOKIFDUSD,7.92e-06,7.944,0.00010653,9.969e-05,0.00010762,1821545443.0,194051.61525612,0.00011151,9.51e-05,3388,Spot Only,1164.6,1189.02481614,94.0249925825
BIOFDUSD,0.0385,19.876,0.22694515,0.1933,0.2322,2163462.5,490987.31647,0.2651,0.188,6412,Spot Only,903.5,10098.82025,1006.3721637499999
CVCUSDT,0.0059,6.476,0.09393725,0.0912,0.097,7549988.0,709225.0767,0.0981,0.0882,7737,Spot Only,868.2,27116.834,2800.61405
FORMUSDC,-0.065,-1.816,3.54600914,3.5689,3.5149,54002.6,191493.71309,3.6394,3.4667,1170,Spot Only,646.8,7329.63898,981.4137925
BANDUSDT,0.27,32.181,1.12804143,0.839,1.109,29700887.5,33503831.5266,1.342,0.814,193879,Spot Only,627.1,943856.7902,129811.265625
SUSHIUSDC,0.0916,11.91,0.8330022,0.7685,0.8607,823327.1,685833.28556,0.904,0.7328,3358,Spot Only,598.3,3287.27036,470.73024250000003
OSMOUSDT,0.013,7.908,0.17261693,0.1644,0.1774,4015024.56,693061.204352,0.1804,0.1593,17683,Spot Only,591.7,34596.339275,5001.741534125
FORMUSDT,-0.0634,-1.773,3.55338263,3.5764,3.5133,949012.4,3372204.18173,3.641,3.4739,80558,Spot Only,512.6,95994.40739,15670.625554999999
REDUSDC,0.0415,10.996,0.39702452,0.3776,0.4189,481848.6,191305.70674,0.4224,0.3609,4012,Spot Only,500.3,5105.29526,850.46960875
EIGENUSDC,0.09,6.721,1.43186163,1.33,1.429,1823873.95,2611535.12235,1.527,1.277,12078,Spot Only,459.3,39089.21453,6989.538184999999
SHELLUSDC,0.0108,8.359,0.13372876,0.1292,0.14,1337276.4,178832.30982,0.1413,0.1218,2496,Spot Only,457.6,9732.74468,1745.46897875
