symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
MEMEUSDT,-0.000439,-15.227,0.00260478,0.002883,0.002444,10018991059.0,26097250.588025,0.002913,0.002396,233553,2.17
KMNOUSDT,-0.00511,-8.845,0.05420934,0.05776,0.05266,47126878.0,2554716.78997,0.05809,0.0511,50605,1.11
OGNUSDT,-0.0069,-8.529,0.07677,0.0808,0.074,66011659.0,5067715.365,0.0815,0.0729,17982,1.19
GTCUSDT,-0.024,-6.612,0.34811373,0.363,0.339,9110296.1,3171419.1205,0.368,0.336,18388,0.55
SYNUSDT,-0.0086,-6.056,0.13610786,0.1422,0.1334,9043587.4,1230903.35684,0.1425,0.132,7987,0.46
CHRUSDT,-0.0064,-6.043,0.10090939,0.1059,0.0995,24371004.0,2459263.1,0.1062,0.0981,16947,1.1
STRKUSDT,-0.0078,-5.748,0.13060611,0.1358,0.1279,50737330.86,6626605.567949,0.1369,0.1266,33699,1.08
ATAUSDT,-0.0029,-5.731,0.04828245,0.0505,0.0477,18020946.0,870095.5044,0.0507,0.0465,7522,1.47
HYPERUSDT,-0.0186,-5.5,0.32569339,0.3383,0.3196,10617005.4,3457888.44538,0.3401,0.3113,27263,0.55
CFXUSDT,-0.0101,-5.498,0.17688381,0.1837,0.1736,83743655.0,14812896.9236,0.1848,0.1721,58088,0.48
QTUMUSDT,-0.127,-5.43,2.32882246,2.338,2.212,7974776.6,18571838.8891,2.456,2.181,81323,6.03
HUMAUSDT,-0.0016,-5.065,0.0303379,0.03157,0.02999,124264177.0,3769913.85726,0.03163,0.02947,57298,0.81
BERAUSDT,-0.114,-4.948,2.23779589,2.304,2.19,2790194.396,6243885.552666,2.341,2.145,44658,0.71
TRBUSDT,-1.72,-4.645,36.47572959,37.04,35.31,196174.811,7155619.35905,38.16,35.04,57236,1.91
REQUSDT,-0.0068,-4.607,0.14265918,0.1477,0.1408,4022615.0,573862.9763,0.1476,0.1385,10741,1.37
THEUSDT,-0.0185,-4.597,0.39144374,0.4027,0.3839,4885176.2,1912271.65773,0.404,0.3803,21947,0.42
DGBUSDT,-0.00039,-4.514,0.00842165,0.00863,0.00825,88162513.5,742474.159847,0.00865,0.00817,12068,1.08
ACHUSDT,-0.00087,-4.069,0.02093189,0.02137,0.02051,211988869.0,4437327.90102,0.02145,0.02028,28525,1.11
ROSEUSDT,-0.00111,-4.003,0.0269546,0.02773,0.02662,86108973.5,2321032.619134,0.02783,0.02638,18325,0.69
A2ZUSDT,-0.000224,-3.904,0.00551499,0.005737,0.005513,448431882.0,2473099.453189,0.005774,0.005331,32095,0.15
