symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
ILVUSDC,0.55,3.604,15.60911213,15.15,15.81,7397.103,115462.21019,16.32,14.52,509,Spot Only,105.42
XVGUSDT,0.000102,1.593,0.0064898,0.006403,0.006506,489230336.0,3175005.897255,0.006811,0.00602,42454,Spot Only,99.5
OMNIUSDC,0.03,0.783,3.84372019,3.84,3.86,256432.79,985655.8916,4.06,3.67,6630,Spot Only,99.32
ZENUSDC,0.608,7.852,7.99848509,7.71,8.351,47493.8,379878.451,8.495,7.467,2127,Spot Only,98.43
HFTUSDT,-0.0034,-3.769,0.08717465,0.0902,0.0868,55165336.9,4809018.83309,0.0917,0.0816,35687,Spot Only,98.17
MKRUSDC,-33.2,-2.027,1637.76746669,1636.1,1604.9,421.7256,690688.46755,1753.0,1503.3,3944,Spot Only,97.63
SUSHIUSDC,0.0855,11.032,0.83170637,0.7746,0.8605,832542.8,692431.14728,0.904,0.7328,3385,Spot Only,97.56
WBTCUSDT,2615.86,2.31,115186.4157144,113216.51,115837.23,108.67126,12517452.9305678,117410.35,111725.77,28231,Spot Only,97.54
BFUSDUSDT,0.0008,0.08,0.99927973,0.9989,0.9997,21461840.0,21446381.7164,1.0005,0.9983,5716,Spot Only,97.5
PENDLEFDUSD,0.199,3.533,5.77482647,5.611,5.832,45693.6,263872.6107,6.007,5.342,1463,Spot Only,97.47
LDOFDUSD,0.1738,13.167,1.42633398,1.3199,1.4938,552898.22,788617.519331,1.581,1.2905,6371,Spot Only,97.38
PONDUSDT,0.00072,7.701,0.00971278,0.00935,0.01007,325631744.0,3162790.1226,0.01035,0.00897,19632,Spot Only,97.32
ACHUSDC,0.00179,8.745,0.02173181,0.02034,0.02226,12745070.0,276973.432,0.02288,0.01976,1614,Spot Only,97.31
COMPUSDC,2.76,6.087,48.03843472,45.32,48.1,6744.603,324000.17093,49.98,43.58,7499,Spot Only,97.23
PENDLEUSDC,0.212,3.78,5.68597469,5.606,5.82,1455854.0,8277948.9899,5.999,5.328,52812,Spot Only,97.2
