symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.056,31.674,0.2251119,0.177,0.2328,122021501.7,27468492.60239,0.265,0.1754,218274,4.63
ETCUSDT,2.88,13.572,23.91242272,21.22,24.1,3437289.96,82193930.5407,25.52,20.53,381550,3.48
BOMEUSDT,0.000625,34.819,0.00212152,0.001795,0.00242,16476318925.0,34954840.595706,0.002461,0.001704,484765,3.47
SSVUSDT,1.536,17.873,9.76424607,8.595,10.13,1556280.856,15195909.233537,10.747,8.124,271886,3.41
BTTCUSDT,5e-08,7.576,6.8e-07,6.6e-07,7.1e-07,8016562326405.0,5489374.21400915,7.3e-07,6.5e-07,18491,3.26
