symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
HYPERUSDT,-0.0458,-12.392,0.34807226,0.3698,0.3238,15863465.7,5521632.40428,0.3756,0.3222,44130,0.29
EPICUSDT,-0.339,-11.032,2.78379801,3.073,2.734,3584886.1,9979598.7928,3.076,2.61,81621,3.02
TSTUSDT,-0.00279,-9.334,0.028401,0.02989,0.0271,141254625.9,4011772.245415,0.03035,0.02636,39035,0.01
MEMEUSDT,-0.000259,-9.065,0.00279827,0.002857,0.002598,21860731992.0,61172286.05723,0.003023,0.002498,514210,0.01
OGNUSDT,-0.0072,-8.802,0.07947756,0.0819,0.0746,135437228.0,10764220.1862,0.0841,0.0742,36980,0.19
VIRTUALUSDT,-0.1125,-8.707,1.24003941,1.2922,1.1796,14105667.3,17491583.37887,1.3019,1.1769,171906,1.06
REQUSDT,-0.0119,-7.886,0.14623792,0.151,0.139,4029349.0,589243.6112,0.152,0.1388,12842,0.2
CYBERUSDT,-0.165,-7.246,2.20305661,2.278,2.112,1916903.45,4223046.81086,2.298,2.103,27380,0.73
SXTUSDT,-0.0053,-6.76,0.07573845,0.0783,0.0731,16591422.3,1256608.52887,0.0789,0.0728,10745,0.04
TUTUSDT,-0.00426,-6.687,0.06126919,0.06371,0.05945,99662842.0,6106262.00019,0.065,0.05537,61009,0.13
REZUSDT,-0.0009,-6.667,0.0130891,0.01351,0.0126,263178058.5,3444763.632071,0.01363,0.01247,21378,0.01
CTSIUSDT,-0.0057,-6.544,0.08467804,0.0872,0.0814,22958498.0,1944080.7133,0.088,0.0804,15806,0.03
FISUSDT,-0.0082,-6.539,0.1224219,0.1254,0.1172,10661097.0,1305151.7251,0.1273,0.1168,10694,0.07
GUNUSDT,-0.00172,-6.483,0.02579991,0.02654,0.02481,76594741.0,1976137.1581,0.02691,0.02476,20445,0.02
PONDUSDT,-0.0006,-6.431,0.00913221,0.00934,0.00873,119219485.0,1088737.35761,0.00939,0.00872,6922,0.0
TOWNSUSDT,-0.00168,-6.234,0.02634701,0.02695,0.02527,260830218.0,6872095.35949,0.02737,0.02526,54780,0.0
STRKUSDT,-0.0085,-6.195,0.13398215,0.1372,0.1287,53396742.32,7154210.161568,0.1402,0.1278,36872,0.15
PROVEUSDT,-0.0718,-6.177,1.13248628,1.1624,1.0906,13480817.4,15266840.73306,1.1849,1.0849,124071,0.16
STGUSDT,-0.0111,-6.17,0.17462606,0.1798,0.1688,16087675.3,2809327.36173,0.1807,0.168,15252,0.19
SYNUSDT,-0.0087,-6.088,0.13985725,0.1432,0.1342,13629498.5,1906184.12972,0.1439,0.1332,13783,0.1
