symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
HYPERUSDT,-0.0442,-11.975,0.34765258,0.369,0.3249,15689192.3,5454388.18072,0.3756,0.3222,43495,0.75
EPICUSDT,-0.303,-9.997,2.77934736,3.032,2.728,3547775.4,9860500.1901,3.069,2.61,80790,1.24
TSTUSDT,-0.00274,-9.204,0.02838603,0.02976,0.02703,142508098.0,4045239.485744,0.03035,0.02636,39455,0.37
OGNUSDT,-0.0073,-8.946,0.07940095,0.0816,0.0743,134105388.0,10648095.1181,0.0841,0.074,36715,2.53
ALPINEUSDT,-0.184,-8.838,2.01386342,2.082,1.898,3477945.26,7004106.74458,2.122,1.888,46701,0.47
REQUSDT,-0.0122,-8.074,0.14607408,0.1512,0.1389,4100791.0,599019.2604,0.152,0.1385,12986,1.35
MEMEUSDT,-0.00022,-7.818,0.00279737,0.002816,0.002594,21550623276.0,60285069.902436,0.003023,0.002498,505923,4.99
VIRTUALUSDT,-0.0992,-7.713,1.23838905,1.2862,1.1869,13892309.7,17204084.26822,1.3019,1.1769,170113,0.81
FISUSDT,-0.0087,-6.899,0.12234108,0.1262,0.1174,10401774.0,1272564.214,0.1273,0.1168,10322,0.55
TUTUSDT,-0.00436,-6.836,0.06125651,0.06379,0.05942,99180015.0,6075421.20126,0.065,0.05537,60699,2.24
CYBERUSDT,-0.146,-6.443,2.20136538,2.267,2.12,1917848.64,4221885.60353,2.298,2.103,27510,0.25
PROVEUSDT,-0.0741,-6.379,1.13181997,1.1616,1.0876,13465924.1,15241001.76695,1.1849,1.0849,123453,0.13
SXTUSDT,-0.0049,-6.266,0.07571606,0.0782,0.0733,16633194.1,1259399.97041,0.0789,0.0728,10775,0.5
A2ZUSDT,-0.000363,-6.223,0.00579118,0.005834,0.00547,709151692.0,4106827.403211,0.006095,0.005433,47635,0.24
LDOUSDT,-0.0828,-6.165,1.29191416,1.343,1.2602,16358076.27,21133230.404343,1.357,1.2471,126086,0.5
GUNUSDT,-0.00156,-5.891,0.02579357,0.02648,0.02492,76932559.0,1984365.39231,0.02691,0.02476,20556,0.7
PONDUSDT,-0.00054,-5.806,0.00912771,0.00931,0.00876,119386117.0,1089722.42697,0.00939,0.00872,6960,0.33
SYNUSDT,-0.0082,-5.75,0.13975458,0.1426,0.1344,13450951.1,1879832.01181,0.1439,0.1332,13593,0.7
CTSIUSDT,-0.005,-5.747,0.08458861,0.087,0.082,23111037.0,1954930.591,0.088,0.0804,15762,0.31
RSRUSDT,-0.000484,-5.677,0.00825573,0.008528,0.008042,427710642.8,3531062.1849474,0.008583,0.007979,59405,0.66
