symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
CYBERUSDC,0.141,6.504,2.30338343,2.164,2.309,166805.76,384217.62309,2.85,2.155,2062,Spot Only,79.34
STRKUSDT,0.0088,6.827,0.13556417,0.1289,0.1377,100151583.62,13576965.985268,0.1431,0.122,68501,Spot Only,13.66
TUSDUSDT,0.0003,0.03,0.99850054,0.9982,0.9986,613664.0,612743.8365,0.999,0.9979,6926,Spot Only,10.18
XTZUSDC,0.0597,7.412,0.83996888,0.8044,0.8652,719977.4,604758.60963,0.8784,0.7747,3700,Spot Only,10.06
STRKUSDC,0.0087,6.744,0.13384127,0.1289,0.1377,10676723.27,1428986.197041,0.1431,0.1221,13257,Spot Only,9.51
USDPUSDT,0.0003,0.03,0.99994528,1.0001,1.0004,618401.0,618367.1597,1.0004,0.9994,1298,Spot Only,9.29
WIFFDUSD,0.064,7.512,0.8868549,0.851,0.916,624444.4,553791.57729,0.938,0.795,4095,Spot Only,8.92
KAIAUSDT,0.0052,3.564,0.14881323,0.1458,0.1511,30877489.4,4594978.80354,0.1557,0.14,40441,Spot Only,8.39
BTCTUSD,2459.62,2.166,115292.53924818,113490.77,115989.6,2.9861,344275.051449,117555.92,111931.77,1460,Spot Only,7.99
GUSDT,0.00073,6.37,0.01169896,0.01145,0.01219,94208008.0,1102135.57979,0.01229,0.01099,17233,Spot Only,7.21
DUSDT,0.00232,7.095,0.03388453,0.03268,0.03502,23679453.0,802367.14909,0.03575,0.03095,15593,Spot Only,6.99
GMTUSDC,0.0022,5.301,0.04281839,0.0417,0.0437,3702724.7,158544.70421,0.0447,0.04,1050,Spot Only,6.93
ETHTUSD,367.91,8.444,4658.37323498,4348.67,4724.74,117.4247,547008.079605,4889.73,4218.12,2257,Spot Only,6.25
EUREURI,0.0002,0.02,1.00021478,1.0002,1.0004,4725467.0,4726481.94852,1.0006,0.9999,13063,Spot Only,6.12
LPTUSDC,0.44,6.98,6.50869069,6.294,6.744,55755.3,362894.00192,6.876,6.019,3185,Spot Only,6.01
