symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,volume_change_pct,last_volume,avg_volume
ILVUSDC,0.69,4.557,15.66801999,15.11,15.83,6430.344,100750.75832,16.32,14.52,486,Spot Only,2430.1,1166.36668,46.1004225
XLMUSDT,0.0215,5.478,0.41146961,0.3925,0.414,145787139.0,59986976.5206,0.4291,0.3808,384546,Spot Only,1724.2,4052369.3242,222143.83685
DEXEUSDT,0.184,2.618,7.15656894,7.023,7.211,124558.31,891410.13208,7.248,6.954,15665,Spot Only,1615.2,29175.70939,1700.9916524999999
TOWNSFDUSD,0.00076,2.958,0.02592319,0.02568,0.02645,3871832.0,100370.24499,0.02731,0.02452,1165,Spot Only,1599.2,2485.79264,146.29020875
FLOKIFDUSD,8.11e-06,8.135,0.00010653,9.929e-05,0.0001078,1821044465.0,193997.60816479,0.00011151,9.51e-05,3387,Spot Only,1164.6,1189.02481614,94.0249925825
BIOFDUSD,0.0418,21.726,0.2269408,0.1918,0.2342,2163598.7,491008.82083,0.2651,0.188,6420,Spot Only,903.5,10098.82025,1006.3721637499999
CVCUSDT,0.0059,6.476,0.09393656,0.091,0.097,7549273.0,709152.7415,0.0981,0.0882,7734,Spot Only,868.2,27116.834,2800.61405
FORMUSDC,-0.0667,-1.863,3.54601,3.5689,3.5132,54001.1,191488.44074,3.6394,3.4667,1169,Spot Only,646.8,7329.63898,981.4137925
BANDUSDT,0.277,33.174,1.12802216,0.836,1.112,29641132.7,33435854.582,1.342,0.814,193627,Spot Only,627.1,943856.7902,129811.265625
SUSHIUSDC,0.0916,11.91,0.8330022,0.7685,0.8607,823327.1,685833.28556,0.904,0.7328,3358,Spot Only,598.3,3287.27036,470.73024250000003
OSMOUSDT,0.013,7.908,0.17261034,0.1644,0.1774,4012546.21,692606.964776,0.1804,0.1593,17673,Spot Only,591.7,34596.339275,5001.741534125
FORMUSDT,-0.0554,-1.55,3.55358424,3.5738,3.5185,950765.6,3378625.64842,3.641,3.4739,80697,Spot Only,512.6,95994.40739,15670.625554999999
REDUSDC,0.0417,11.043,0.39699069,0.3775,0.4193,481184.0,191025.56943,0.4224,0.3609,4008,Spot Only,500.3,5105.29526,850.46960875
EIGENUSDC,0.1,7.519,1.43186087,1.33,1.43,1821819.0,2608591.3455,1.527,1.277,12035,Spot Only,459.3,39089.21453,6989.538184999999
SHELLUSDC,0.011,8.514,0.1337203,0.1293,0.1402,1335845.2,178629.61585,0.1413,0.1218,2492,Spot Only,457.6,9732.74468,1745.46897875
