symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
ASRUSDT,0.462,15.029,3.57028167,3.073,3.536,12039777.3,42985396.2473,4.2,3.057,331160,14.74
QTUMUSDT,0.307,14.809,2.30337992,2.074,2.38,10203833.3,23503304.7361,2.436,2.052,123287,18.49
API3USDT,0.1595,11.754,1.53844117,1.358,1.5165,38358969.83,59013018.471475,1.7088,1.328,279614,4.69
NEOUSDT,0.636,10.176,6.67411247,6.25,6.886,3136527.55,20933537.64518,6.947,6.16,124390,25.35
BBUSDT,0.0116,10.131,0.12746688,0.1146,0.1261,174577052.3,22252792.0107,0.138,0.1121,190432,0.43
JUVUSDT,0.124,9.487,1.41352751,1.308,1.431,6601311.85,9331135.90667,1.533,1.296,56934,1.63
BANDUSDT,0.06,7.937,0.85921741,0.756,0.816,22845724.8,19629444.391,0.94,0.753,98689,5.38
SCRUSDT,0.021,5.526,0.41146839,0.379,0.401,25690391.2,10570784.0328,0.434,0.373,78227,1.15
PHAUSDT,0.0052,4.586,0.11879736,0.1135,0.1186,69198050.0,8220545.4807,0.123,0.1115,68565,0.35
SKLUSDT,0.00132,4.243,0.03100275,0.03113,0.03243,372709456.0,11555017.24239,0.03293,0.02922,78306,0.02
GTCUSDT,0.014,4.23,0.35586467,0.33,0.345,17373937.4,6182770.5665,0.392,0.326,35988,0.45
GASUSDT,0.113,3.387,3.43225608,3.337,3.449,1584772.3,5439344.3619,3.528,3.311,37631,5.85
LAUSDT,0.0092,2.651,0.35807206,0.3472,0.3563,10224038.2,3660942.39803,0.3706,0.3416,34727,0.26
JSTUSDT,0.00085,2.556,0.03406105,0.03325,0.0341,55712110.3,1897612.717468,0.03458,0.03309,6747,0.04
UMAUSDT,0.036,2.535,1.45228055,1.421,1.456,7508730.9,10904783.8193,1.54,1.377,69065,3.05
LAZIOUSDT,0.024,2.271,1.07671042,1.057,1.081,1428479.36,1538058.60975,1.12,1.04,11106,0.62
ONGUSDT,0.0036,2.094,0.1763821,0.1719,0.1755,12131572.0,2139792.1085,0.1808,0.1702,23325,0.34
QNTUSDT,1.84,1.749,106.63364209,105.21,107.04,28815.225,3072672.38929,108.64,104.76,46693,126.16
ZECUSDT,0.61,1.588,38.82279734,38.43,39.03,98081.147,3807784.49331,40.2,37.7,19662,72.48
PLUMEUSDT,0.00125,1.502,0.08294258,0.08325,0.08449,256509067.0,21275523.14785,0.08607,0.08035,301131,0.06
