symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
HUMAUSDT,-0.00191,-6.348,0.02867905,0.0301,0.02818,512038853.0,14684789.68836,0.03032,0.02745,147720,2.84
SANTOSUSDT,-0.094,-4.181,2.20323862,2.249,2.154,3741695.73,8243848.54375,2.276,2.126,70126,2.09
PROMUSDT,-0.285,-3.096,9.01284703,9.202,8.921,443084.72,3993454.80342,9.388,8.694,133589,2.04
ASRUSDT,-0.094,-2.824,3.32298988,3.328,3.235,4886336.2,16237245.7446,3.529,3.163,127862,0.93
API3USDT,-0.0384,-2.523,1.50916917,1.5216,1.4833,14039237.55,21187584.434254,1.6016,1.4357,147064,0.4
