symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.054,32.162,0.2129941,0.1676,0.2219,52200560.2,11118411.54978,0.265,0.1654,104007,8.92
SCUSDT,0.000121,4.028,0.00316697,0.003003,0.003125,1397814912.0,4426843.998328,0.00331,0.003001,104406,5.68
QTUMUSDT,-0.152,-6.594,2.31249149,2.304,2.153,5998878.5,13872355.4578,2.456,2.126,61790,4.42
AEURUSDT,0.0076,0.685,1.11588068,1.1097,1.1173,52586713.7,58680497.7683,1.122,1.1043,14760,3.5
PHAUSDT,-0.003,-2.517,0.12120484,0.1192,0.1162,85256110.0,10333453.0708,0.1275,0.1137,73882,3.48
UMAUSDT,0.055,3.852,1.50778655,1.428,1.483,11976706.5,18058317.0027,1.61,1.426,97929,3.29
BIOUSDT,0.0481,32.217,0.17939101,0.1492,0.1974,776153908.2,139235033.34563,0.21,0.1432,593323,3.28
FTTUSDT,0.0503,5.501,0.93675401,0.9169,0.9646,4478169.74,4194943.44058,0.985,0.89,40635,3.14
ZECUSDT,3.36,8.651,41.35037498,38.83,42.2,170411.022,7046559.66014,43.43,38.83,36969,3.14
ASTRUSDT,-3e-05,-0.124,0.02478506,0.02421,0.02418,138735933.7,3438578.807386,0.02534,0.02394,23160,2.84
NEOUSDT,-0.183,-2.741,6.71475849,6.676,6.493,2360072.27,15847315.31692,6.947,6.398,108256,2.81
BBUSDT,0.0058,4.407,0.13283635,0.1315,0.1374,141875668.4,18846245.38828,0.1437,0.1231,194101,2.65
API3USDT,-0.1565,-9.621,1.54529029,1.627,1.4701,24727907.62,38211795.574715,1.6303,1.4299,242271,2.32
BANDUSDT,-0.043,-4.937,0.84653739,0.87,0.828,7702452.8,6520414.2839,0.888,0.807,34149,2.19
ZILUSDT,-2e-05,-0.179,0.01137878,0.01117,0.01115,211196724.2,2403160.08729,0.01155,0.01106,24454,2.11
TRBUSDT,-2.53,-6.943,36.07381072,36.43,33.91,218701.611,7889400.51932,38.16,33.41,64789,2.07
BTTCUSDT,1e-08,1.515,6.7e-07,6.5e-07,6.7e-07,3295034747006.0,2216024.18614894,7e-07,6.5e-07,11059,1.96
SKLUSDT,0.00412,13.999,0.03365144,0.02941,0.03355,1188954818.0,40010039.28298,0.03663,0.02922,249742,1.89
ASRUSDT,-0.356,-9.994,3.42865776,3.561,3.206,8083427.1,27715305.0324,3.866,3.157,226614,1.79
ONGUSDT,-0.0089,-5.028,0.17626722,0.1768,0.1681,10782163.0,1900541.9099,0.1808,0.1661,16501,1.69
