symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count
EPICUSDT,-0.309,-10.359,2.93471399,2.983,2.674,4482066.6,13153583.5447,3.226,2.638,105889
HOMEUSDT,-0.00349,-8.041,0.04195085,0.04341,0.03991,53612455.0,2249087.85239,0.04373,0.03973,27453
RAREUSDT,-0.0045,-7.414,0.05834986,0.0608,0.0562,65382825.8,3815078.97894,0.061,0.0559,24367
MLNUSDT,-0.63,-6.818,8.89005349,9.24,8.61,262865.763,2336890.69486,9.29,8.56,29703
TSTUSDT,-0.00172,-5.72,0.02924415,0.03008,0.02835,112691711.7,3295573.008989,0.03039,0.02804,34626
HUMAUSDT,-0.00184,-5.556,0.03185243,0.03308,0.03128,134506875.0,4284370.857,0.03312,0.03064,56295
TOWNSUSDT,-0.00146,-5.374,0.0267186,0.02717,0.02571,301418396.0,8053476.37933,0.02737,0.02565,57948
ACAUSDT,-0.0017,-5.313,0.03129527,0.032,0.0303,64412659.1,2015811.833544,0.0324,0.0301,11098
LDOUSDT,-0.0668,-4.963,1.31841903,1.346,1.2792,22714215.8,29946854.293857,1.362,1.2645,139390
PROVEUSDT,-0.0552,-4.786,1.15306098,1.1534,1.0982,17497332.9,20175491.77316,1.185,1.0943,155521
SPKUSDT,-0.003693,-4.737,0.07633316,0.077972,0.07426,143467861.0,10951354.890399,0.080006,0.07396,320859
FIOUSDT,-0.00086,-4.442,0.01886039,0.01936,0.0185,89986576.0,1697181.72845,0.01955,0.01821,24420
CTSIUSDT,-0.0035,-3.964,0.08633289,0.0882,0.0848,24371836.0,2104091.1168,0.0888,0.0839,22382
DIAUSDT,-0.028,-3.936,0.70272451,0.7117,0.6834,2622143.1,1842644.21312,0.7184,0.6784,18158
MAVUSDT,-0.00226,-3.907,0.05725084,0.05783,0.05558,138520082.0,7930391.1553,0.0597,0.05458,112424
REQUSDT,-0.0058,-3.854,0.14833706,0.1505,0.1447,3423280.0,507799.3012,0.152,0.1445,12763
ALPINEUSDT,-0.079,-3.76,2.05873453,2.101,2.022,4045922.2,8329479.74207,2.195,1.955,55643
IOUSDT,-0.024,-3.75,0.62610061,0.64,0.616,11165914.46,6990985.84809,0.644,0.604,40061
CYBERUSDT,-0.082,-3.664,2.23811909,2.238,2.156,2020671.94,4522504.43378,2.304,2.148,33759
SXTUSDT,-0.0025,-3.226,0.07734627,0.0775,0.075,14793910.6,1144253.80025,0.0789,0.0748,9732
