symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
ASRUSDT,-0.267,-7.635,3.31582417,3.497,3.23,4659863.2,15451287.0229,3.521,3.163,122982,0.89
HUMAUSDT,-0.00191,-6.325,0.02867579,0.03018,0.02829,514477414.0,14753047.59604,0.03032,0.02745,148371,2.85
SANTOSUSDT,-0.104,-4.606,2.20284982,2.255,2.154,3749308.88,8259164.38451,2.276,2.126,70315,2.09
PROMUSDT,-0.311,-3.373,9.01208705,9.216,8.908,444085.25,4002134.93051,9.388,8.694,133705,2.05
API3USDT,-0.0369,-2.424,1.50901165,1.5229,1.4852,13951458.72,21052913.744137,1.6016,1.4357,146334,0.4
