symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.0647,38.836,0.21870952,0.1666,0.2313,83755373.2,18318097.46885,0.265,0.1654,154193,11.39
SCUSDT,0.000255,8.424,0.00317381,0.003028,0.003282,1521989378.0,4830509.699997,0.00331,0.003019,110386,5.97
BIOUSDT,0.1081,74.449,0.19924434,0.1452,0.2533,1129686094.1,225083565.01033,0.2645,0.1432,852332,4.78
BANDUSDT,0.41,50.122,1.02633941,0.817,1.228,16445196.6,16878353.3667,1.316,0.807,84816,4.65
AEURUSDT,0.0105,0.946,1.11632488,1.1091,1.1199,58559475.1,65371399.18745,1.1345,1.1065,16487,3.81
ZECUSDT,4.7,12.014,42.37142403,39.12,43.82,209935.176,8895252.36125,45.99,38.98,45247,3.73
PHAUSDT,0.012,10.067,0.12225186,0.1192,0.1312,92056012.0,11254018.5205,0.1322,0.1137,83427,3.59
FTTUSDT,0.0451,5.017,0.94380472,0.899,0.944,5108918.92,4821821.815485,0.985,0.89,43208,3.45
QTUMUSDT,-0.056,-2.388,2.28561819,2.346,2.289,4836481.9,11054350.9835,2.456,2.126,49966,3.44
BBUSDT,0.0375,29.691,0.14026357,0.1265,0.1638,186245775.6,26123497.1186,0.1646,0.1231,247269,3.4
ASTRUSDT,0.00194,8.046,0.02488731,0.02411,0.02605,162446571.6,4042857.725588,0.02612,0.02394,27429,3.23
BTTCUSDT,3e-08,4.615,6.7e-07,6.6e-07,6.8e-07,5123534086583.0,3444430.36491301,7e-07,6.5e-07,13656,2.89
NEOUSDT,0.251,3.694,6.71143835,6.792,7.045,2414292.46,16203375.0005,7.085,6.398,116174,2.77
ZILUSDT,0.00076,6.732,0.01148628,0.01129,0.01205,284591600.4,3268899.732783,0.01211,0.01106,30274,2.74
UMAUSDT,0.131,9.066,1.52099403,1.445,1.576,9664285.0,14699319.7458,1.61,1.439,81391,2.62
ETCUSDT,4.17,19.895,23.03944042,20.96,25.13,2213218.76,50991321.7585,25.52,20.53,226993,2.33
NMRUSDT,0.72,8.944,8.46908896,8.05,8.77,357819.75,3030407.2951,8.94,8.0,15631,2.15
SKLUSDT,0.00666,21.278,0.03515,0.0313,0.03796,1336304395.0,46971099.35726,0.04044,0.03109,286470,2.15
LINKUSDT,2.36,9.432,25.74312899,25.02,27.38,15512966.14,399352288.4272,27.87,24.09,709492,2.08
ZENUSDT,0.594,7.837,7.76159751,7.581,8.173,980969.82,7613892.91226,8.212,7.46,41081,2.06
