symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
BTCTUSD,2597.77,2.294,115315.98606027,113292.85,115824.42,3.04645,351304.3857333,117555.92,111931.77,1456,Spot Only,16.69
MOVEUSDC,0.0052,4.075,0.13032412,0.1276,0.1328,1112946.5,145043.77353,0.1365,0.1213,1400,Spot Only,9.84
BABYUSDC,0.0028,5.502,0.05201267,0.05107,0.05369,2978255.0,154906.9996,0.05481,0.0487,2033,Spot Only,7.53
WBETHUSDT,400.56,8.569,5071.25603699,4676.8,5075.01,2507.9014,12718210.114928,5258.0,4531.39,38027,Spot Only,6.21
UTKUSDC,0.00093,2.951,0.03207216,0.0315,0.03244,5880328.0,188594.80028,0.03375,0.03019,1678,Spot Only,5.67
SIGNUSDT,0.00393,5.787,0.07070251,0.0679,0.07184,42133165.0,2978920.66232,0.07334,0.06626,41654,Spot Only,5.32
HAEDALUSDC,0.008,6.405,0.12809036,0.125,0.1329,3550163.5,454741.7259,0.1349,0.1187,3805,Spot Only,5.22
UTKUSDT,0.00123,3.9,0.03221405,0.03155,0.03277,42906437.0,1382190.14364,0.03398,0.03018,22995,Spot Only,4.95
TUSDUSDT,0.0003,0.03,0.99850244,0.9981,0.9985,613642.0,612723.0344,0.999,0.9979,6860,Spot Only,4.88
MEMEFDUSD,0.001535,61.523,0.00304391,0.002488,0.00403,87476217.0,266269.356973,0.004345,0.00243,2709,Spot Only,4.67
NEWTFDUSD,0.0133,4.513,0.30213545,0.296,0.308,413375.9,124895.51539,0.3149,0.2851,1490,Spot Only,4.4
DUSKUSDT,0.0046,7.034,0.06824606,0.0655,0.07,16492703.0,1125562.0091,0.0722,0.062,17992,Spot Only,3.31
MEMEUSDC,0.00161,64.867,0.00350265,0.002481,0.004092,2935150727.0,10280813.051734,0.004321,0.002416,224404,Spot Only,3.2
KAVAUSDT,0.0088,2.364,0.37994564,0.3722,0.3811,11665268.5,4432167.9572,0.387,0.3679,31954,Spot Only,3.09
NILUSDT,0.03,10.406,0.3017386,0.2882,0.3183,7426371.2,2240822.86721,0.3271,0.2747,40488,Spot Only,3.08
