symbol,price_change_percent,last_price,quote_volume,count,trading_venue,high_24h,low_24h,volume_spike_pct,last_volume,avg_prev_volume,periods_used
WINUSDT,4.814,6.401e-05,685693.4353348,19365,Spot Only,6.442e-05,5.966e-05,1232.6,42713.73619184,3205.3109581444446,9.0
BNBUSDT,5.316,894.01,403975615.590005,1941783,Spot Only,900.71,842.7,499.4,11448425.54778,1910005.58929,9.0
BNBTUSD,5.569,896.81,554845.2906,1089,Spot Only,900.81,846.44,439.5,28312.77445,5247.615946666667,9.0
BNBUSDC,5.285,893.62,203852596.94791,476722,Spot Only,899.99,842.5,294.1,3541274.47996,898498.76167,9.0
TFUELUSDT,4.678,0.03603,1030468.7046,14132,Spot Only,0.03719,0.0336,248.9,16007.2691,4587.694471111111,9.0
BCHUSDC,5.424,590.9,6040354.2432,29390,Spot Only,607.7,550.5,213.7,52458.1386,16720.251,9.0
