symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
HUMAUSDT,-0.00208,-6.878,0.02866802,0.03025,0.02816,518796702.0,14872872.87871,0.03032,0.02745,149677,Spot Only,96.04
HUMAUSDC,-0.00201,-6.66,0.02879443,0.03025,0.02817,39476374.0,1136699.73533,0.03029,0.0275,14970,Spot Only,96.03
SANTOSUSDT,-0.117,-5.191,2.200492,2.256,2.137,3882108.57,8542548.85786,2.276,2.126,71577,Spot Only,96.06
HFTUSDT,-0.0037,-4.088,0.08716819,0.0905,0.0868,55067792.0,4800159.97905,0.0917,0.0816,35631,Spot Only,97.97
ASRUSDT,-0.131,-3.883,3.30886623,3.374,3.243,4482049.1,14830500.9018,3.521,3.163,120426,Spot Only,96.79
PROMUSDT,-0.312,-3.37,9.00940869,9.26,8.945,447830.02,4034683.67489,9.388,8.694,134148,Spot Only,96.18
API3USDC,-0.0447,-2.929,1.51415575,1.5244,1.4814,1230526.88,1863209.35611,1.6,1.4364,13328,Spot Only,96.13
API3USDT,-0.0424,-2.781,1.50843132,1.5251,1.4825,13754729.74,20748065.176604,1.6016,1.4357,144893,Spot Only,96.28
MKRUSDT,-34.3,-2.093,1646.8094927,1638.7,1604.3,11565.168,19045628.44704,1786.0,1506.0,227325,Spot Only,96.12
MKRUSDC,-33.2,-2.027,1637.76746669,1636.1,1604.9,421.7256,690688.46755,1753.0,1503.3,3944,Spot Only,97.63
FORMUSDT,-0.0703,-1.971,3.55652743,3.5675,3.4972,942094.6,3350585.28584,3.641,3.4739,80025,Spot Only,96.49
FORMUSDC,-0.0641,-1.804,3.54865777,3.5623,3.489,50702.9,179927.24009,3.6394,3.4667,1082,Spot Only,96.0
OGNUSDT,-0.0007,-0.941,0.07526655,0.0744,0.0737,42748376.0,3217522.8706,0.078,0.0712,18945,Spot Only,96.05
SPKUSDC,-0.000674,-0.931,0.07405696,0.072421,0.071746,37907694.0,2807328.692436,0.0775,0.068776,42273,Spot Only,96.14
SPKUSDT,-0.00067,-0.925,0.07428731,0.07243,0.071757,200586482.0,14901029.715363,0.07754,0.068769,362859,Spot Only,96.2
