symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.0517,28.77,0.22524308,0.18,0.2314,121881196.4,27452896.10094,0.265,0.1769,217895,4.62
BOMEUSDT,0.000602,33.463,0.00213302,0.001799,0.002401,17144947739.0,36570455.945843,0.002461,0.001704,510373,3.54
ETCUSDT,2.78,13.095,23.91394684,21.23,24.01,3442554.42,82325063.3942,25.52,20.53,382216,3.48
SSVUSDT,1.482,17.209,9.7660588,8.614,10.094,1559960.958,15234670.441318,10.747,8.124,272470,3.41
BTTCUSDT,4e-08,5.97,6.8e-07,6.6e-07,7.1e-07,8015855315085.0,5489091.49727917,7.3e-07,6.5e-07,18544,3.26
