symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,rvol
TKOUSDT,0.0594,33.073,0.22536037,0.1798,0.239,122189218.8,27536607.73345,0.265,0.1771,217972,4.61
BOMEFDUSD,0.000546,30.233,0.00219842,0.001801,0.002352,69961213.0,153804.050134,0.002461,0.001712,1463,3.87
ETCUSDC,2.72,12.8,24.03037098,21.22,23.97,70425.0,1692338.8762,25.5,20.55,11767,3.7
BOMEUSDT,0.000534,29.667,0.00213904,0.001799,0.002334,17475345703.0,37380529.782622,0.002461,0.001704,523164,3.55
HEIUSDC,0.0517,12.333,0.45791255,0.4193,0.4709,704346.5,322529.10464,0.4875,0.4048,2816,3.52
