symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count
ASRUSDT,0.444,14.448,3.56999538,3.073,3.517,12004840.7,42857225.7913,4.2,3.057,329325
QTUMUSDT,0.285,13.722,2.30298886,2.076,2.362,10162193.1,23403417.4854,2.436,2.052,122856
API3USDT,0.1696,12.498,1.53823945,1.357,1.5266,38286611.13,58893975.462832,1.7088,1.328,278643
BBUSDT,0.0111,9.661,0.12746658,0.1148,0.126,174434244.7,22234537.41081,0.138,0.1121,190142
NEOUSDT,0.573,9.153,6.67197647,6.26,6.833,3117968.99,20803015.74916,6.947,6.16,123962
JUVUSDT,0.116,8.855,1.41332933,1.309,1.426,6558758.48,9269685.72033,1.533,1.296,56596
BANDUSDT,0.06,7.926,0.85910325,0.758,0.817,22863541.6,19642142.801,0.94,0.753,98737
SCRUSDT,0.019,4.987,0.41144819,0.381,0.4,25688172.7,10569352.2012,0.434,0.373,78238
PHAUSDT,0.0047,4.112,0.1187463,0.1142,0.119,69307208.0,8229974.8393,0.123,0.1115,68279
SKLUSDT,0.00126,4.053,0.03097769,0.03107,0.03235,367287029.0,11377702.73362,0.03293,0.02922,76997
GTCUSDT,0.013,3.939,0.35586668,0.331,0.343,17363238.5,6178998.0619,0.392,0.326,35985
GASUSDT,0.109,3.264,3.43192932,3.337,3.448,1587494.0,5448167.2013,3.528,3.311,37679
UMAUSDT,0.041,2.893,1.45223091,1.416,1.458,7499874.5,10891549.5541,1.54,1.377,69048
LAZIOUSDT,0.027,2.55,1.07667622,1.058,1.086,1427399.4,1536846.98371,1.12,1.04,11091
JSTUSDT,0.00083,2.496,0.03405925,0.03326,0.03408,55734713.6,1898282.726208,0.03458,0.03309,6760
LAUSDT,0.0076,2.188,0.35802803,0.3474,0.355,10245102.7,3668033.95816,0.3706,0.3416,34639
ONGUSDT,0.0033,1.92,0.17637785,0.1718,0.1752,12131879.0,2139794.7333,0.1808,0.1702,23423
QNTUSDT,1.66,1.576,106.63029508,105.32,106.98,28740.964,3064657.47208,108.64,104.76,46579
BTTCUSDT,1e-08,1.538,6.6e-07,6.5e-07,6.6e-07,1178386572855.0,776659.20222209,6.7e-07,6.5e-07,6898
ZECUSDT,0.59,1.532,38.8214151,38.52,39.09,98135.378,3809754.24505,40.2,37.7,19651
