symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
HUMAUSDT,-0.00208,-6.892,0.02867034,0.03018,0.0281,516981935.0,14822048.67333,0.03032,0.02745,149155,Spot Only,2.59
HUMAUSDC,-0.00206,-6.823,0.02879551,0.03018,0.02813,39428235.0,1135356.17722,0.03029,0.0275,14922,Spot Only,3.37
HFTUSDT,-0.0053,-5.78,0.08749166,0.0917,0.0864,59064681.7,5167667.08127,0.0931,0.0816,37656,Spot Only,0.77
SANTOSUSDT,-0.097,-4.313,2.20192282,2.25,2.152,3801655.93,8370952.95409,2.276,2.126,70964,Spot Only,1.0
PROMUSDT,-0.325,-3.512,9.01037083,9.253,8.93,446675.58,4024712.61786,9.388,8.694,134103,Spot Only,1.67
API3USDT,-0.0438,-2.857,1.50857635,1.532,1.4893,13844385.12,20885312.03061,1.6016,1.4357,145397,Spot Only,0.92
API3USDC,-0.0425,-2.777,1.51420096,1.5324,1.4881,1234158.37,1868763.784307,1.6,1.4364,13387,Spot Only,0.98
ASRUSDT,-0.092,-2.762,3.30986271,3.332,3.239,4528622.4,14989118.4167,3.521,3.163,121385,Spot Only,1.0
FORMUSDT,-0.0746,-2.092,3.55668903,3.566,3.491,942575.7,3352448.65106,3.641,3.4739,79994,Spot Only,1.15
FORMUSDC,-0.0681,-1.912,3.54870355,3.5629,3.4942,50676.7,179836.58541,3.6394,3.4667,1080,Spot Only,1.47
JUVUSDT,-0.025,-1.747,1.41022716,1.431,1.406,3128317.39,4411638.16233,1.447,1.379,28866,Spot Only,0.42
MKRUSDC,-26.0,-1.597,1637.84578997,1628.2,1602.5,423.7367,694015.37015,1753.0,1503.3,3952,Spot Only,1.73
MKRUSDT,-24.5,-1.505,1646.98930314,1628.4,1603.9,11540.802,19007577.44363,1786.0,1506.0,227168,Spot Only,2.3
OGNUSDT,-0.0011,-1.473,0.07522341,0.0749,0.0736,44761590.0,3367119.3793,0.078,0.0712,19170,Spot Only,0.59
JUVUSDC,-0.019,-1.331,1.41186195,1.43,1.408,109272.75,154278.0375,1.445,1.381,1043,Spot Only,0.24
