symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
CYBERUSDC,0.141,6.504,2.30338343,2.164,2.309,166805.76,384217.62309,2.85,2.155,2062,Spot Only,79.34
STRKUSDT,0.0088,6.822,0.13556494,0.129,0.1378,100144531.7,13576086.978995,0.1431,0.122,68506,Spot Only,13.66
TUSDUSDT,0.0003,0.03,0.99850054,0.9982,0.9986,613664.0,612743.8365,0.999,0.9979,6926,Spot Only,10.18
XTZUSDC,0.0596,7.398,0.83996947,0.8055,0.8652,719965.0,604748.62143,0.8784,0.7747,3698,Spot Only,10.06
STRKUSDC,0.0088,6.822,0.13384163,0.129,0.1378,10677242.89,1429059.610045,0.1431,0.1221,13259,Spot Only,9.51
USDPUSDT,0.0002,0.02,0.99994529,1.0001,1.0003,618427.0,618393.1675,1.0004,0.9994,1300,Spot Only,9.29
WIFFDUSD,0.066,7.746,0.88686076,0.851,0.918,624561.96,553899.49427,0.938,0.795,4101,Spot Only,8.92
KAIAUSDT,0.0053,3.633,0.14881406,0.1459,0.1512,30868929.4,4593730.77722,0.1557,0.14,40441,Spot Only,8.39
BTCTUSD,2459.62,2.166,115292.53924818,113490.77,115989.6,2.9861,344275.051449,117555.92,111931.77,1460,Spot Only,7.99
GUSDT,0.00074,6.457,0.01169896,0.01146,0.0122,94207921.0,1102134.91651,0.01229,0.01099,17233,Spot Only,7.21
DUSDT,0.00232,7.095,0.03388453,0.03268,0.03502,23679453.0,802367.14909,0.03575,0.03095,15593,Spot Only,6.99
GMTUSDC,0.0023,5.542,0.04282024,0.0417,0.0438,3709732.0,158851.62395,0.0447,0.04,1052,Spot Only,6.93
ETHTUSD,368.49,8.458,4658.38463553,4348.67,4725.32,117.4447,547102.586005,4889.73,4218.12,2258,Spot Only,6.25
EUREURI,0.0002,0.02,1.00021478,1.0002,1.0004,4725467.0,4726481.94852,1.0006,0.9999,13063,Spot Only,6.12
LPTUSDC,0.44,6.98,6.50880261,6.304,6.744,55724.83,362701.91904,6.876,6.019,3180,Spot Only,6.01
