symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
ILVUSDC,0.55,3.604,15.60911213,15.15,15.81,7397.103,115462.21019,16.32,14.52,509,Spot Only,105.42
XVGUSDT,0.000106,1.657,0.00648989,0.006402,0.006505,488702471.0,3171627.717657,0.006811,0.00602,42439,Spot Only,99.39
OMNIUSDC,0.03,0.783,3.84372019,3.84,3.86,256432.79,985655.8916,4.06,3.67,6630,Spot Only,99.32
ZENUSDC,0.608,7.852,7.99848509,7.71,8.351,47493.8,379878.451,8.495,7.467,2127,Spot Only,98.43
HFTUSDT,-0.0037,-4.088,0.08716819,0.0905,0.0868,55067792.0,4800159.97905,0.0917,0.0816,35631,Spot Only,97.97
MKRUSDC,-33.2,-2.027,1637.76746669,1636.1,1604.9,421.7256,690688.46755,1753.0,1503.3,3944,Spot Only,97.63
PENDLEFDUSD,0.199,3.533,5.77482647,5.611,5.832,45693.6,263872.6107,6.007,5.342,1463,Spot Only,97.47
WBTCUSDT,2549.85,2.251,115188.23715506,113299.3,115837.24,108.56815,12505773.8096856,117410.35,111725.77,28222,Spot Only,97.45
LDOFDUSD,0.1718,12.995,1.426346,1.321,1.4938,552835.64,788534.906121,1.581,1.2905,6369,Spot Only,97.37
PONDUSDT,0.00071,7.577,0.0097131,0.00937,0.01008,325898000.0,3165480.43104,0.01035,0.00897,19636,Spot Only,97.32
DATAUSDT,0.00093,5.744,0.01638441,0.01618,0.01712,64795620.5,1061638.271324,0.01719,0.01527,16279,Spot Only,97.24
PENDLEUSDC,0.203,3.615,5.68600199,5.614,5.819,1455856.9,8278005.2361,5.999,5.328,52815,Spot Only,97.2
COMPUSDC,2.73,6.017,48.03917011,45.38,48.1,6742.75,323916.11424,49.98,43.58,7495,Spot Only,97.2
DCRUSDT,0.56,3.335,17.1266087,16.8,17.35,25068.428,429337.1572,17.55,16.18,12724,Spot Only,97.14
SCRTUSDT,0.0103,5.703,0.18534071,0.1808,0.1909,5889383.3,1091542.45329,0.1957,0.1709,17335,Spot Only,97.09
